North Carolina Mixed Sectionals,mixed club,22,9,2007
Wilmington,NC,2007-09-22,2007-09-22
https://scorereport.net/2007/mixed/event3823
Black Molly
b,r,e,a,k
Olio
b,r,e,a,k
TAU
b,r,e,a,k
Keel Haul
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Black Molly,Olio,15,8,"09/22/2007, 10:00",Pool A,final
TAU,Keel Haul,15,11,"09/22/2007, 10:00",Pool A,final
Black Molly,TAU,15,9,"09/22/2007, 12:00",Pool A,final
Olio,Keel Haul,15,5,"09/22/2007, 12:00",Pool A,final
Black Molly,Keel Haul,15,12,"09/22/2007, 14:00",Pool A,final
TAU,Olio,16,14,"09/22/2007, 14:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
