2013 USA Ultimate West New England Mixed Sectionals,mixed club,7,9,2013
West Lebanon,NH,2013-09-07,2013-09-07
https://scorereport.net/2013/mixed/event13165
Enough Monkeys
b,r,e,a,k
Nekud UFX
b,r,e,a,k
Rut
b,r,e,a,k
Golden Domes
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
Enough Monkeys,Nekud UFX,15,5,"09/07/2013, 10:00",Championship Bracket,final
Rut,Golden Domes,15,11,"09/07/2013, 10:00",Championship Bracket,final
Enough Monkeys,Rut,15,9,"09/07/2013, 12:30",Championship Bracket,final
bracket,2nd Place
Golden Domes,Nekud UFX,15,6,"09/07/2013, 12:30",2nd Place,final
Rut,Golden Domes,15,8,"09/07/2013, 15:00",2nd Place,final
b,r,e,a,k
