2013 USA Ultimate Alaska Mixed Sectionals,mixed club,7,9,2013
Talkeetna,AK,2013-09-07,2013-09-07
https://scorereport.net/2013/mixed/event13168
Uncle Oosik
b,r,e,a,k
Baby Walrus
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Uncle Oosik,Baby Walrus,13,2,"09/07/2013, 12:00",Bracket,final
b,r,e,a,k
