Knoxville Ultimate Summer League Championship,mixed club,3,8,2013
Knoxville,TN,2013-08-03,2013-08-03
https://scorereport.net/2013/mixed/event13039
Liquid Hot Magma
b,r,e,a,k
Negra Throwdelo
b,r,e,a,k
White Noise
b,r,e,a,k
P.I.M.P.S.
b,r,e,a,k
Domestic Violets
b,r,e,a,k
Ron Burgundy
b,r,e,a,k
Ninjas
b,r,e,a,k
Green Machine
b,r,e,a,k
Cookie Monster
b,r,e,a,k
Midas Touch
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Championship
Negra Throwdelo,White Noise,9,7,"08/03/2013, 09:00",Championship,final
P.I.M.P.S.,Domestic Violets,9,5,"08/03/2013, 09:00",Championship,final
Cookie Monster,Midas Touch,13,8,"08/03/2013, 09:00",Championship,final
Liquid Hot Magma,Negra Throwdelo,13,6,"08/03/2013, 10:45",Championship,final
Ninjas,Green Machine,11,8,"08/03/2013, 10:45",Championship,final
Ron Burgundy,Ninjas,11,9,"08/03/2013, 10:45",Championship,final
Ron Burgundy,Cookie Monster,11,8,"08/03/2013, 10:45",Championship,final
P.I.M.P.S.,Liquid Hot Magma,11,10,"08/03/2013, 12:30",Championship,final
P.I.M.P.S.,Ron Burgundy,13,8,"08/03/2013, 14:45",Championship,final
bracket,5th Place
bracket,9th Place
Domestic Violets,Negra Throwdelo,W,L,"08/03/2013, 12:30",9th Place,final
Green Machine,Cookie Monster,W,L,"08/03/2013, 12:30",9th Place,final
b,r,e,a,k
