AZ Mixed Madness,mixed club,24,8,2013
Scottsdale,AZ,2013-08-24,2013-08-24
https://scorereport.net/2013/mixed/event13447
Remedy
b,r,e,a,k
Del Sol
b,r,e,a,k
Rubix
b,r,e,a,k
Instant Karma
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Remedy,Del Sol,3,15,"08/24/2013, 08:30",Pool A,final
Rubix,Instant Karma,15,9,"08/24/2013, 08:30",Pool A,final
Remedy,Instant Karma,8,15,"08/24/2013, 10:20",Pool A,final
Rubix,Del Sol,7,15,"08/24/2013, 10:20",Pool A,final
Remedy,Rubix,4,15,"08/24/2013, 12:10",Pool A,final
Del Sol,Instant Karma,15,10,"08/24/2013, 12:10",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
