2013 USA Ultimate Gulf Coast Mixed Sectionals,mixed club,14,9,2013
Mobile,Alabama,2013-09-14,2013-09-14
https://scorereport.net/2013/mixed/event13177
N.O.P.P
b,r,e,a,k
Dreamstarx
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Game 1
N.O.P.P,Dreamstarx,13,2,"09/14/2013, 09:00",Game 1,final
bracket,Game 2
N.O.P.P,Dreamstarx,13,8,"09/14/2013, 11:00",Game 2,final
b,r,e,a,k
