USA Ultimate National Championships,Club - Men ,18,10,2018
San Diego,CA,2018-10-18,2018-10-21
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2018/schedule/Men/Club-Men/
Revolver,1
00,Lior Givol
01,Simon Higgins
02,Kevin Cocks
03,George Stubbs
04,Joel Schlachet
06,Julian Childs-Walker
07,Russell Wynne
08,John Stubbs
09,Cassidy Rasmussen
10,Grant Lindsley
14,Kenneth Lim
15,Michael Spear
17,Sawyer Thompson
18,Gregory Cohen
22,Marcelo Sanchez-Heredia
23,Antoine Davis
24,Elijah Kerns
25,Nick Stuart
26,Nathan White
27,Ashlin Joye
29,Christian Johnson
32,Jordan Marcy
33,Mark Lin
35,Lucas Dallmann
53,Eli Friedman
88,Byron Liu
93,Tom Doi
b,r,e,a,k
Sub Zero,12
01,Ryan Osgar
02,Ben Feldman
03,Colin Berry
04,Gregory Cousins
05,Charles McCutcheon
06,Charles Weinberg
07,Zach Trosvig
08,Cole Wallin
09,Jay Drescher
12,Alex Simmons
13,Cole Jurek
15,Kristian Johnson
16,Ethan Rasmussen
17,Logan Weiss
18,Wystan Duhn
20,Thomas Echols
21,Codi Wood
24,Nicholas Vogt
26,Jordan Taylor
29,Josh Klane
33,Connor Anderson
66,Jason Tschida
71,Nicholas Simonelli
99,Tristan Van De Moortele
b,r,e,a,k
HIGH FIVE,13
00,Jordan O'Neill
02,David Valentine-Elam
03,Alexander Russomanno
04,Eric Schumacher
05,Austin Engel
06,Kevin Coulter
08,Dan Donovan
09,Steven Moliterno
10,David Bentrovato
11,Jordan Rhyne
15,Sam Greenwood
16,Raymond Lu
17,Keegan North
18,Ethan Yourd
19,Paul Arters
22,Michael Dagher-Margosian
23,Alex Kapiamba
24,Wesley Chen
30,Parker Howard
38,Joe Mozloom Jr
45,Kevin Baumann
47,Phil Cherosky
55,Johnny Bansfield
76,Cole Osborn
77,James Highsmith
91,Joe White
98,Zachary Braun
b,r,e,a,k
Madison Club,8
01,David Wiseman
02,Logan Pruess
04,Sam Hebert
06,Bill Everhart
07,Avery Johnson
09,Andrew Meshnick
10,Victor Luo
18,Mike Kobyra
20,Glenn Poole
23,Tarik Akyuz
24,Logan Grothus
25,Ryan Tucker
26,Peter Graffy
27,Elliot Mawby
32,Colin Camp
42,Chase Marty
48,Thomas Coolidge
66,Ted Schewe
68,Benjamin Nelson
76,Colin Grandon
80,Kevin Pettit-Scantling
92,Kevin Brown
b,r,e,a,k
Sockeye,2
00,Jacob Janin
02,Brice Dixon
03,Thomas  Kulczak
04,Zachary Goulson
05,Simon Montague
06,Phil Murray
07,Zane Rankin
09,Sam Harkness
10,Dongyang Chen
11,Christian Foster
14,Xander Cuizon Tice
15,Derek Mourad
16,Trent Dillon
19,Husayn Carnegie
22,Matthew Russell
23,Danny Karlinsky
24,Joe Sefton
25,Frank Devin Barich
26,Cooper Schumacher
27,William Katz
28,Duncan Linn
31,Matthew Rehder
34,John Randolph
55,Dylan Freechild
70,Julian Hausman
77,Ben Snell
87,Chris Kosednar
b,r,e,a,k
DiG,7
01,Jack Hatchett
02,Misha Sidorsky
03,Ben Sadok
04,Tanner Halkyard
05,Noah Backer
06,Rocco Essex-Linehan
07,Jason (Jay) Clark
08,Michael Sender
10,Rustin Ingold-Smith
11,Mat Little
12,Tim Schoch
14,Ben Field
15,Tannor Johnson
17,Henry Babcock
