Amherst College Snack Pack Invitational,college-open,25,4,2004
Amherst,MA,2004-04-25,2004-04-25
https://scorereport.net/2004/college-open/event583
Massachusetts
b,r,e,a,k
Amherst
b,r,e,a,k
Amherst (ARHS)
b,r,e,a,k
Williams
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Massachusetts,Amherst,11,13,"04/25/2004, 00:00",Pool A,final
Amherst (ARHS),Williams,13,3,"04/25/2004, 00:00",Pool A,final
Massachusetts,Williams,13,7,"04/25/2004, 00:00",Pool A,final
Amherst (ARHS),Amherst,13,8,"04/25/2004, 00:00",Pool A,final
Massachusetts,Amherst (ARHS),10,9,"04/25/2004, 00:00",Pool A,final
Amherst,Williams,13,5,"04/25/2004, 00:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
