2013 USA Ultimate Texas Women's Sectionals,womens club,7,9,2013
Houston,TX,2013-09-07,2013-09-07
https://scorereport.net/2013/womens/event13219
Inferno
b,r,e,a,k
Maeve
b,r,e,a,k
Reverb
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Inferno,Maeve,13,6,"09/07/2013, 09:00",Pool A,final
Reverb,Maeve,10,11,"09/07/2013, 10:30",Pool A,final
Inferno,Reverb,13,5,"09/07/2013, 12:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
