2013 USA Ultimate Gulf Coast Women's Sectionals,womens club,14,9,2013
Tupelo,MS,2013-09-14,2013-09-14
https://scorereport.net/2013/womens/event13222
Hot
b,r,e,a,k
Hucks & Kisses
b,r,e,a,k
Black Betty
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Hot,Hucks & Kisses,15,2,"09/14/2013, 10:00",Pool A,final
Black Betty,Hucks & Kisses,15,4,"09/14/2013, 12:00",Pool A,final
Hot,Black Betty,12,10,"09/14/2013, 14:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
