2013 USA Ultimate West Plains Women's Sectionals,womens club,7,9,2013
Ames,IA,2013-09-07,2013-09-08
https://scorereport.net/2013/womens/event13208
Woman Scorned
b,r,e,a,k
Monium Ibex
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Woman Scorned,Monium Ibex,15,13,"09/08/2013, 09:00",Bracket,final
b,r,e,a,k
