2013 USA Ultimate East Plains Women's Sectionals,womens club,7,9,2013
,,2013-09-07,2013-09-08
https://scorereport.net/2013/womens/event13207
Belle
b,r,e,a,k
Kraken
b,r,e,a,k
Flo
b,r,e,a,k
Stacked
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Belle,Kraken,13,11,"09/07/2013, 10:00",Pool A,final
Flo,Stacked,15,6,"09/07/2013, 10:00",Pool A,final
Belle,Stacked,15,1,"09/07/2013, 12:00",Pool A,final
Flo,Kraken,15,5,"09/07/2013, 12:00",Pool A,final
Belle,Flo,10,14,"09/07/2013, 14:00",Pool A,final
Kraken,Stacked,14,6,"09/07/2013, 14:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
