2013 USA Ultimate North Carolina Women's Sectionals,womens club,7,9,2013
Chapel Hill,NC,2013-09-07,2013-09-07
https://scorereport.net/2013/womens/event13224
Ember
b,r,e,a,k
Retro T
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Ember,Retro T,1,15,"09/07/2013, 00:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
