2015 Big D in Little d (Men's),College - Men ,21,2,2015
Denton,TX,2015-02-21,2015-02-22
https://play.usaultimate.org/events/2015-Big-D-in-Little-d-Mens/schedule/Men/CollegeMen/
Baylor,8
b,r,e,a,k
Texas (C),20
teamInfo,Texas C,"Austin, Texas",,,
0,Michael Lomonte
0,Blaise Brown
0,Albert Lee
0,ISAAC KRAVITZ
0,Thomas Wilczek
0,Shaun van der Walt
5,Scott Hayden
5,Nathan Chen
11,Philip Berthelsen
14,Mutahir Ahmad
16,James Driver
19,Alex Stolzberg
20,Henry Furuta
22,Daniel De Los Santos
52,Holt Newton
77,Matthew Speller
99,Mitchell Roberts
b,r,e,a,k
Texas-Arlington,13
teamInfo,Yucca,"Arlington, Texas",,,
coaches,Joe Sobansky
00,CRUZ SALINAS
00,Nathanael Summers
00,Jonathan Conway
00,Arshad Mustafaa
00,HARRY KIDWELL
00,Connor Landwehr
00,Travis Matthews
00,Timothy Cruz
00,Aaron Pritcher
00,Jake Floyd
00,CORY VAN EENENAAM
00,Collin Emmert
00,Matthew Muir
00,Joshua Howard
00,Jared Blankenship
00,Greg Loftis
05,Frederick Christen
11,Aaron Dyreson
b,r,e,a,k
s,t,a,g,e,s
pools,Pool
pool,Pool A
Kansas State,North Texas (B),13,3,"02/21/2015, 08:00",Pool A,Final
Kansas State,Tulsa,15,6,"02/21/2015, 10:00",Pool A,Final
Baylor,North Texas (B),15,4,"02/21/2015, 10:00",Pool A,Final
Baylor,Tulsa,15,3,"02/21/2015, 12:00",Pool A,Final
Kansas State,Baylor,10,15,"02/21/2015, 14:00",Pool A,Final
Texas-Dallas,Tulsa,12,6,"02/21/2015, 15:00",Pool A,Final
Tulsa,North Texas (B),11,6,"02/21/2015, 16:00",Pool A,Final
Kansas State,Texas-Dallas,15,9,"02/21/2015, 19:00",Pool A,Final
Texas-Dallas,North Texas (B),15,3,"02/21/2015, 21:00",Pool A,Final
Baylor,Texas-Dallas,15,8,"02/21/2015, 23:00",Pool A,Final
pool,Pool B
Kansas,Texas A&M (B),12,10,"02/21/2015, 08:00",Pool B,Final
Harding,Midwestern State,F,W,"02/21/2015, 08:00",Pool B,Final
Kansas,Harding,W,F,"02/21/2015, 12:00",Pool B,Final
North Texas,Midwestern State,11,9,"02/21/2015, 12:00",Pool B,Final
Kansas,Midwestern State,12,9,"02/21/2015, 12:00",Pool B,Final
North Texas,Texas A&M (B),11,12,"02/21/2015, 12:00",Pool B,Final
Kansas,North Texas,12,11,"02/21/2015, 14:00",Pool B,Final
Harding,Texas A&M (B),F,W,"02/21/2015, 14:00",Pool B,Final
Midwestern State,Texas A&M (B),4,15,"02/21/2015, 16:00",Pool B,Final
North Texas,Harding,W,F,"02/21/2015, 16:00",Pool B,Final
pool,Pool C
Texas State,Baylor (B),15,1,"02/21/2015, 08:00",Pool C,Final
Texas State,Southern Methodist,12,6,"02/21/2015, 10:00",Pool C,Final
Marcus High School,Southern Methodist,5,11,"02/21/2015, 15:00",Pool C,Final
Southern Methodist,Baylor (B),15,3,"02/21/2015, 16:00",Pool C,Final
Texas Tech,Baylor (B),15,1,"02/21/2015, 17:00",Pool C,Final
Texas State,Marcus High School,12,13,"02/21/2015, 19:00",Pool C,Final
Texas Tech,Southern Methodist,15,3,"02/21/2015, 19:00",Pool C,Final
Texas State,Texas Tech,11,12,"02/21/2015, 21:00",Pool C,Final
Marcus High School,Baylor (B),12,5,"02/21/2015, 21:00",Pool C,Final
Texas Tech,Marcus High School,15,11,"02/22/2015, 06:00",Pool C,Final
pool,Pool D
Rice,Texas (C),15,2,"02/21/2015, 08:00",Pool D,Final
Texas Christian,Texas (C),15,6,"02/21/2015, 10:00",Pool D,Final
Rice,Trinity,15,7,"02/21/2015, 12:00",Pool D,Final
Rice,Texas Christian,15,14,"02/21/2015, 14:00",Pool D,Final
Trinity,Texas (C),15,5,"02/21/2015, 14:00",Pool D,Final
Texas Christian,Trinity,15,13,"02/21/2015, 16:00",Pool D,Final
Trinity,Texas-Arlington,15,12,"02/21/2015, 22:00",Pool D,Final
Rice,Texas-Arlington,15,9,"02/22/2015, 00:00",Pool D,Final
Texas Christian,Texas-Arlington,15,4,"02/22/2015, 02:00",Pool D,Final
Texas-Arlington,Texas (C),10,11,"02/22/2015, 06:00",Pool D,Final
b,r,e,a,k
brackets,Tournament
bracket,A Bracket
Baylor,Rice,0,0,"02/22/2015, 12:00",Semi-Finals,Scheduled
Kansas State,Kansas,0,0,"02/22/2015, 12:00",Semi-Finals,Scheduled
Baylor,Texas State,8,7,"02/22/2015, 10:00",Quarter-Finals,Final
Rice,North Texas,9,3,"02/22/2015, 10:00",Quarter-Finals,Final
Texas Tech,Kansas State,12,13,"02/22/2015, 17:00",Quarter-Finals,Final
Kansas,Texas Christian,8,7,"02/22/2015, 10:00",Quarter-Finals,Final
Texas State,Trinity,15,6,"02/22/2015, 08:00",Pre-Quarters,Final
North Texas,Southern Methodist,12,2,"02/22/2015, 08:00",Pre-Quarters,Final
Kansas State,Texas A&M (B),11,10,"02/22/2015, 08:00",Pre-Quarters,Final
Texas Christian,Texas-Dallas,11,8,"02/22/2015, 15:00",Pre-Quarters,Final
bracket,B Bracket
Tulsa,Marcus High School,0,0,"02/22/2015, 19:00",13th Place,Scheduled
Texas (C),Tulsa,0,0,"02/22/2015, 10:00",B Semi-Finals,Final
Midwestern State,Marcus High School,3,8,"02/22/2015, 17:00",B Semi-Finals,Final
Texas (C),Harding,1,0,"02/22/2015, 08:00",B Quarter-Finals,Final
Baylor (B),Tulsa,8,15,"02/22/2015, 08:00",B Quarter-Finals,Final
Midwestern State,Texas-Arlington,12,9,"02/22/2015, 22:00",B Quarter-Finals,Final
North Texas (B),Marcus High School,5,13,"02/22/2015, 15:00",B Quarter-Finals,Final
bracket,9th Place
Southern Methodist,Texas A&M (B),0,0,"02/22/2015, 12:00",9th Place,Scheduled
Trinity,Southern Methodist,0,1,"02/22/2015, 10:00",9th Place Semis,Final
Texas A&M (B),Texas-Dallas,0,0,"02/22/2015, 17:00",9th Place Semis,Final
bracket,5th Place
Texas State,North Texas,0,0,"02/22/2015, 12:00",5th Place Semis,Scheduled
Texas Tech,Texas Christian,0,0,"02/22/2015, 19:00",5th Place Semis,Scheduled
bracket,3rd Place
bracket,7th Place
bracket,11th Place
Trinity,Texas-Dallas,0,0,"02/22/2015, 21:00",11th Place,Scheduled
bracket,17th Place
Harding,Baylor (B),0,0,"02/22/2015, 10:00",17th Place Semis,Scheduled
Texas-Arlington,North Texas (B),0,0,"02/23/2015, 00:00",17th Place Semis,Scheduled
bracket,15th Place
Texas (C),Midwestern State,0,0,"02/22/2015, 12:00",15th Place,Scheduled
bracket,19th Place
b,r,e,a,k
