Atlantic Coast D-I College Men's Regionals,College - Men ,25,4,2015
Axton,VA,2015-04-25,2015-04-26
https://play.usaultimate.org/events/Atlantic-Coast-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/
North Carolina-Wilmington,1
teamInfo,Seamen,"Wilmington, North Carolina",http://seamenultimate.com/,https://www.facebook.com/seamenultimate,https://twitter.com/seamenultimate
coaches,GREGORY VASSAR,Brian Casey
0,John  Wright 
0,GABRIEL FULLER
0,Kevin Mateer
0,Carlton  Rouse
0,JAMES ROYAL
0,JAMES HARUM
0,Austin McGrayne
0,MATT MASON
0,Xavier Maxstadt
0,Jason Alexander
0,Charlie Lian
0,Jack Williams
0,DANIEL MERCER
0,Erik Esposto
0,WILKIN HANAWAY
2,Carl Matysek
3,Cale Ward
6,Kyle Warfel
9,Frederick Hennighausen
10,William Stewart
10,Luke Hancock
18,Grayson Sanner
25,Jake Gallagher
42,Jonathan Callahan
56,Kyle Gibbons
99,PARKER GRISSOM
b,r,e,a,k
Delaware,8
teamInfo,Sideshow,"Newark, Delaware",,,
0,JAKE HOROWITZ
0,Kyle Weinberg
0,John Maher
0,Joseph Wheeler
1,Charles McCutcheon
2,JOSEPH CARVER
5,Michael Smith
8,Charles Weinberg
9,Robert Kalish
10,SVEN JOHNSON
11,Eric Nardelli
13,Greg Mohler
21,Jonathon Chann
22,Colton Lubaszka
23,DANNY KATZ
26,Mark Frasco
30,Brian McAloon
39,Andrew Skocypec
40,SAM RUDOW
55,Matthew Hale
66,Stephen Cockerill
77,Andrew Schwartz
91,BRIAN GRAHAM
92,ARTHUR ETHGEN
b,r,e,a,k
Virginia Tech,11
teamInfo,Burn,"Blacksburg, Virginia",http://vtultimate.wix.com/virginiatechultimate,,
0,HARRISON FINK
0,Tim Slade
0,Logan Healy
0,Mike Vignali
0,Alexander DeLuca
0,Daniel Sablosky
0,Alexander Wu
0,Christopher Granito
0,Christian Gilbertson
0,Dylan Hitt
0,Nicholas Gigliotti
0,Peter Vaccacio
2,Hunter Taylor
10,Lucas Fenstermacher
11,Conner Fox
12,Kyle Flynn
17,MARSHALL PIERCE
21,Rhys Bergeron
28,Joe Novak
b,r,e,a,k
Clemson,14
teamInfo,Joint Chiefs of Waft,"Clemson, South Carolina",,,
0,Andrew Perham
2,Ryland Bristow
3,Jordan Monroe
7,Bradley Kennedy
9,Thomas Loar
01,Patrick Duda
05,ALEXANDER WATERS
10,BRICE BARNETT
11,JARRYD BOYLE
12,Connor Kinzie
13,ZACHARY PRICE
15,Hunter Hamvas
16,John Lipsey
18,Gregory Piedmont
21,Andrew Brownlow
23,Tom McGinley
33,Alex Hintz
55,Mitchell Fanning
61,Christian Trotter
72,Nicholas D'Orsi
73,Adam Luthman
77,James Berry
81,Ryan Wolfe
84,Paul Fang
98,Chris Sayad
b,r,e,a,k
North Carolina,2
teamInfo,Darkside,"Chapel Hill, North Carolina",http://www.uncdarkside.com/,https://www.facebook.com/UNCDarkside,https://twitter.com/UNC_Darkside
0,AARON WARSHAUER
01,Aaron Wan
02,Norman Archer
03,JD Hastings
04,Jesse Kovacs
05,Nathan Kwon
05,Ben Maxson
08,ALEC TOLENTINO
09,REMINGTON REMMEL
10,Taek Lee
11,Justin Moore
12,Josiah Evans
13,Andrew Cohen
14,Nick MacLeod
15,Vikram Sethuraman
17,Spencer Beck
18,Dain Nielsen
21,Matt Gouchoe-Hanas
22,Walker Matthews
23,James Zuraw
24,Jonathan Nethercutt
33,Keegan Emrick
40,Samuel Lee
42,Alex (Evan) Grosskurth
44,Tanner Barcus
51,Tim McAllister
76,Clayton Noblit
77,Ben Snell
b,r,e,a,k
William & Mary,13
teamInfo,Darkhorse,"Williamsburg, Virginia",http://wmdarkhorse.com/,,WMUltimate
coaches,Geoffrey Horsfield
0,SETH HAGE
0,Henry Trotter
0,Nicholas Som
0,Zachary Oppler
0,Mitchell Luti
0,John Boyle
0,Zachary Nimmo
1,Luke Hart-Moynihan
2,HENRY TESSIER
3,Benjamin Helm
4,Will Evans
6,Jacob Smith
8,KEVIN TOLAND
10,JOSHUA ARMITAGE
16,Patrick So
17,Moussa Dia
17,Tommy Harris
20,Samuel Brecker
22,WILL SWEETSER
23,Thomas  Rosen
26,Matthew Wattendorf
27,Cody Johnston
37,ZANDER MEITUS
b,r,e,a,k
Virginia Commonwealth,7
teamInfo,Villains,"Richmond, Virginia",,,
0,James Lay
0,Benjamin Houchins
0,BRAD SMART
01,Akram Abudheer
09,Owen Thompson
10,Matthew Reynolds
11,Tim Jackson
14,Derrick Freeman
17,Jack Field
21,Brendan Wang
22,Jacob Belvin
24,Trent Cooper
25,Justin Hall
28,Austyn Pedersen
29,Tyler Smith
32,DOMINIQUE GIBSON
42,Ian Leake
66,Martin Smoot
69,ANDREW IRVING
88,Christopher Finklea
99,Adante Thompson
b,r,e,a,k
American,12
teamInfo,Stall 11,"Washington, District of Columbia",http://www.americanultimate.com/main-site#!__main-site,https://www.facebook.com/stall11,twitter.com/AU_Ultimate/
0,Joshua King
0,Eric Tagliaferre
0,SAMUEL EPSTEIN
0,Cortland Broyles
0,Aaron Langley
0,PATRICK MORAN
0,Cole Flournoy
0,Liam Carbutt
0,Ryan Trismen
0,DANNY WELCH
0,Christian  Duffoo
0,Raymond Mendoza
0,ISAAC SHORSER
0,SAWYER GILBERT
2,JORDAN NATELSON
3,MICHAEL HARLEY
6,Nathaniel Gath
17,Aaron Besser
23,Norris Kpamegan
24,MICHAEL CIPRIANO
27,Bretton Caws
62,Doron Shore
b,r,e,a,k
Maryland,3
teamInfo,Maryland Ultimate,"College Park, Maryland",,,
coaches,Ben Slade
2,DAVIDSON GIRARD
01,ALAN BRANSON
03,Eric Biggs
04,Matthew Smith
05,Samuel Besse
07,Liam Toal
08,Sean Reischel
09,Thomas Kinton
10,Nate Pascale
11,Lucas Denit
12,DOUGLAS LAVIN
14,Mac Keller
15,William Xu
16,John Walden
17,Tom Noll
18,Christopher Bernard
19,Garrett Yung
20,Isaac Kinton
21,Max Cassell
22,Ryan Swift
26,Tim Kreutzfeldt
27,Myco Paulo
28,ADRIAN CRAIG
32,Eliot Fenton
33,Mark Lin
42,Sean Manning
43,Nathan Prior
49,ZACHARY ARGUELLES
74,Andrew Creighton
b,r,e,a,k
Appalachian State,6
teamInfo,Nomads,"Boone, North Carolina",,,
0,Josh Louie
0,MITCHELL HALLORAN
0,Anthony Morlacci
0,Ryan Dolan
0,Daniel Schopler
3,Christian Solberg
3,Ryan  Schanz
8,Benj Thomsen
9,Daniel Hickman
11,Adam Russell
12,Austin Olive
12,CROSBY TAYMORE
13,Mikko Rich-Voorhees
17,NICHOLAS GILLIAM
21,Caleb Louie
21,ERIC CONKLIN
22,NICK SIMPSON
23,Jeff Nordgren
27,KEVIN BYRLEY
33,Jeffrey Colby
42,TIMOTHY BETHEA
47,Alexander Nicholos
50,Shawn Bippley
52,Michael  McKay
67,Sam Putnam
69,WILLIS WOOD
72,ROB SPRANKLE
83,Ian Barry
93,Ian Combest
99,Spencer Colwell
b,r,e,a,k
South Carolina,9
teamInfo,South Carolina,"Columbia, South Carolina",,,
0,Austin Lourie
0,Christian Riddle
2,Johnnie Lynch
8,Stephen Trello
11,Nathan Goff
12,John (Jack) Dowling
15,Alexander Cartledge
16,Clarence Frady
17,Shane Smith
18,Tyler Vincent
19,Bill SooHoo
23,Bryan Kohut
24,Chance Harper
31,DILLON BROWN
37,Matthew Wright
41,Andrell Caldwell
42,Zach Mills
88,Travis Muthig
99,Tanner Coleman
b,r,e,a,k
Towson,16
teamInfo,Pandamonium,"Towson, Maryland",,,
0,Blake Paulson
0,Josh Moen
0,David Hric
0,Viktor Polyak
0,Patrick Peluso
0,Drew Shaffer
0,Chase Turner
0,Daniel Kaste
0,MATTHEW MANZO
0,Andrew Burlin
0,Mike McComiskey
0,Alexander Antolick
0,Kevin Boyd
0,Jeff Kunkle
0,Justin  Crites 
0,Dan  Henry
10,BRENNAN MCPHERSON
13,Jack Wong
29,Daniel Broussard
32,Nick Malagari
42,Jeffrey Hoch
66,Michael Valdes
69,Kevin Baker
69,Ryan Bates
77,Austin Davis
93,TJ Sebastian
99,George Wright
b,r,e,a,k
Virginia,5
teamInfo,Night Train,"Charlottesville, Virginia",http://nighttrainultimate.com,,https://twitter.com/nighttrainatuva
0,David Maser
0,MICHAEL MALINOWSKI
0,Evan  Hurley
0,JOSEPH URBANEK
0,Owen Robinson
1,JACK CRAWFORD-BROWN
2,MAX MULCAHY
3,NAZZARENO SPURIO
4,Dane Warner
7,HENRY LEGARD
8,Kristopher Harrison
9,PHILIP ADDINGTON
10,JEREMY GOLDEN
11,Richard Young
18,JARED PASETSKY
19,JORDAN ROBARGE
23,Emilio Craddock
24,PATRICK DONOVAN
27,Ethan Schwab
28,ANDREW KAIDEN
33,BRANDON HENTON
35,COLBY ISENBERG
55,GRAHAM SNOW
b,r,e,a,k
North Carolina State,4
teamInfo,NCSU Wolfpack,"Raleigh, North Carolina",http://wolfpackultimate.com/,https://www.facebook.com/wolfpackultimate,https://twitter.com/wolfpackultim8
0,Daniel Bayha
0,D. Paul Barnes
0,Wesley Dudas
0,Blaine Taylor
0,Jacob McGoogan
0,Ryan Walden
0,Dyon Vega
0,LUIS MOLINA
0,Jamie Haigh
0,Taylor Waters
0,REED BERGER
0,Mason Gardner
0,Clayton Carey
0,Noah Brewer
5,Danny Schmitt
7,Samuel Shearer
10,John Luke Sumerel
12,Jeff Wiltgen
13,ANDREW LOUGHRAN
14,Kiron Allen
15,Daniel Rolando
23,Patrick Cheeves
25,Alec Grusky
26,Troy Miller
34,Davis Mossman
38,Jeffrey Perkins
b,r,e,a,k
Georgetown,10
teamInfo,Catholic Justice,"Washington, District of Columbia",https://hoyalink.georgetown.edu/organization/mensultimate,https://www.facebook.com/CatholicJustice,https://twitter.com/GeorgetownUlti
0,Houston Parks
01,Matthew Javitt
02,Jacob Marsh
04,Taylor Culman
05,IVAN ROBINSON
06,Logan Willits
07,Matthew Cullom
08,Perry Cao
09,MICHAEL WEIL
11,Ismael Elhelbawey
12,John Recchia
13,Nico Lake
14,Jordan Mallen
15,MICHAEL MCGRATH
17,Cooper Joy
18,Jack Orzechowski 
19,Anthony Bernard-Sasges
23,ADAM DORKO
24,ALEX LAWRENCE
25,Danie Fain
26,CHARLES PETITPAS
27,Steven Wartinbee
30,Christian Boxley
55,Joshua Tsung
78,HOLDEN CHOI
80,Troy Holland
88,CHARLES ZHOU
b,r,e,a,k
George Washington,15
teamInfo,gdub ultimate,"Washington, District of Columbia",http://gdubultimate.com/,,
0,TURNER SHAW
0,HENRY BETTS
0,Kyle Johnson
0,Josh Weinstock
0,ERIK BETHKE
0,Shane Haar
0,Jeremy Neff
1,John Venezia
12,Andrew Ziegler
16,Alexander Nunno
22,Marc Gottschalk
30,Thomas Perry
33,Gabriel Fernandez
34,SAMUEL SCHAFFER-MORRISON
37,Benjamin Butcher
49,Alexander Davis
51,James Midkiff
53,Jackson Gode
64,Jeffrey DeSorbo
71,BRAD RICHARDS
84,Jason Davidson
87,Tyler Monroe
94,Alex Davis
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
North Carolina-Wilmington,Virginia Tech,13,7,"04/25/2015, 08:30",Pool A,Final
Delaware,Clemson,13,7,"04/25/2015, 08:30",Pool A,Final
North Carolina-Wilmington,Clemson,13,3,"04/25/2015, 10:15",Pool A,Final
Delaware,Virginia Tech,14,13,"04/25/2015, 10:15",Pool A,Final
North Carolina-Wilmington,Delaware,13,7,"04/25/2015, 12:00",Pool A,Final
Virginia Tech,Clemson,13,9,"04/25/2015, 12:00",Pool A,Final
pool,Pool B
North Carolina,American,13,1,"04/25/2015, 08:30",Pool B,Final
Virginia Commonwealth,William & Mary,11,13,"04/25/2015, 08:30",Pool B,Final
North Carolina,William & Mary,13,3,"04/25/2015, 12:00",Pool B,Final
Virginia Commonwealth,American,13,9,"04/25/2015, 12:00",Pool B,Final
North Carolina,Virginia Commonwealth,13,7,"04/25/2015, 13:45",Pool B,Final
American,William & Mary,7,13,"04/25/2015, 13:45",Pool B,Final
pool,Pool C
Maryland,South Carolina,12,11,"04/25/2015, 08:30",Pool C,Final
Appalachian State,Towson,13,2,"04/25/2015, 08:30",Pool C,Final
Maryland,Towson,13,10,"04/25/2015, 10:15",Pool C,Final
Appalachian State,South Carolina,13,9,"04/25/2015, 10:15",Pool C,Final
Maryland,Appalachian State,13,9,"04/25/2015, 12:00",Pool C,Final
South Carolina,Towson,13,10,"04/25/2015, 12:00",Pool C,Final
pool,Pool D
North Carolina State,Georgetown,14,12,"04/25/2015, 08:30",Pool D,Final
Virginia,George Washington,13,7,"04/25/2015, 08:30",Pool D,Final
North Carolina State,George Washington,13,9,"04/25/2015, 10:15",Pool D,Final
Virginia,Georgetown,13,8,"04/25/2015, 10:15",Pool D,Final
North Carolina State,Virginia,7,13,"04/25/2015, 13:45",Pool D,Final
Georgetown,George Washington,12,8,"04/25/2015, 13:45",Pool D,Final
b,r,e,a,k
clusters,Cross Over Play
cluster,4th Round Cross Overs
North Carolina-Wilmington,Maryland,13,10,"04/25/2015, 15:30",,Final
North Carolina,Virginia,13,7,"04/25/2015, 15:30",,Final
North Carolina State,Virginia Commonwealth,11,13,"04/25/2015, 15:30",,Final
Appalachian State,Virginia Tech,12,8,"04/25/2015, 15:30",,Final
William & Mary,Georgetown,12,11,"04/25/2015, 15:30",,Final
Delaware,South Carolina,11,13,"04/25/2015, 15:30",,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
North Carolina-Wilmington,North Carolina,7,15,"04/26/2015, 12:30",1st Place Finals,Final
North Carolina-Wilmington,Virginia,15,6,"04/26/2015, 10:30",1st Place Semis,Final
Maryland,North Carolina,11,15,"04/26/2015, 10:30",1st Place Semis,Final
North Carolina-Wilmington,William & Mary,15,8,"04/26/2015, 08:30",1st Place Quarters,Final
Virginia,Appalachian State,14,12,"04/26/2015, 08:30",1st Place Quarters,Final
Maryland,Virginia Commonwealth,15,11,"04/26/2015, 08:30",1st Place Quarters,Final
North Carolina,South Carolina,15,5,"04/26/2015, 08:30",1st Place Quarters,Final
bracket,3rd Place Bracket
Maryland,Virginia,15,9,"04/26/2015, 14:30",3rd Place Finals,Final
Appalachian State,Maryland,8,15,"04/26/2015, 12:30",3rd Place Semis,Final
Virginia Commonwealth,Virginia,10,15,"04/26/2015, 12:30",3rd Place Semis,Final
William & Mary,Appalachian State,8,15,"04/26/2015, 10:30",3rd Place Quarters,Final
Virginia Commonwealth,South Carolina,15,12,"04/26/2015, 10:30",3rd Place Quarters,Final
bracket,7th Place
William & Mary,South Carolina,1,0,"04/26/2015, 12:30",7th Place,Final
bracket,5th Place
Appalachian State,Virginia Commonwealth,7,11,"04/26/2015, 14:30",5th Place,Final
bracket,9th Place
North Carolina State,Virginia Tech,14,12,"04/26/2015, 10:30",9th Place,Final
North Carolina State,Delaware,1,0,"04/26/2015, 08:30",9th Place Semis,Final
Georgetown,Virginia Tech,0,1,"04/26/2015, 08:30",9th Place Semis,Final
bracket,11th Place
Delaware,Georgetown,0,0,"04/26/2015, 10:30",11th Place,Cancelled
bracket,13th Place
Clemson,American,10,13,"04/26/2015, 10:30",13th Place,Final
Clemson,Towson,15,10,"04/26/2015, 08:30",13th Place Semis,Final
American,George Washington,14,13,"04/26/2015, 08:30",13th Place Semis,Final
bracket,15th Place
Towson,George Washington,11,15,"04/26/2015, 10:30",15th Place,Final
b,r,e,a,k
