USA Ultimate National Championships,Club - Men ,1,10,2015
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2015/schedule/Men/Club-Men/
Revolver,1
01,Simon Higgins
02,TAYLOR LAHEY
03,Kevin Cocks
04,Joel Schlachet
05,Devon Anderson
07,Russell Wynne
08,Patrick Baylis
09,Cassidy Rasmussen
10,Robbie Cahill
11,Zachary Travis
12,Sam Kanner
13,Alex Evangelides
16,Jamie Quella
18,Gregory Cohen
19,Ryo Kawaoka
20,Nick Schlag
21,Andrew Hagen
22,Marcelo Sanchez-Heredia
23,Jordan Jeffery
24,Elijah Kerns
27,Ashlin Joye
28,Nathan White
29,Christian Johnson
32,Jordan Marcy
35,Lucas Dallmann
50,Beau Kittredge
87,Chris Kosednar
b,r,e,a,k
Patrol,12
01,Colin McIntyre
03,Gabriel Colton
05,Charles McCutcheon
06,Leon Chou
07,Nick Hirannet
08,Nick Patel
09,Patrick Diviney
10,Matt Esser
11,Himalaya Mehta
13,David Brandolph
14,Matthew Glazer
18,William Sickles
20,David Baer
21,Michael Panna
23,James Zuraw
24,Ethan Peck
25,Trey (George) Katzenbach
27,Jake Rainwater
31,Patrick Lindsey
36,David Shields
41,Nicholas Mathison
46,Benjamin Scharadin
49,Jordan Winey
55,Matt Paparone
71,Ian McClellan
76,MARSHALL WARD
91,Vincent Reydams
b,r,e,a,k
Madison Club,13
01,ADAM DREWS
02,Logan Pruess
04,Patrick Shriwise
06,Bill Everhart
08,Benjy Keren
09,Andrew Meshnick
10,David Meinecke
11,Andrew Brown
12,Chris Wilen
13,Brian Hart
14,David Wiseman
21,Jordan O'Neill
22,Alex Champe
24,Dayu Liu
25,Ross Barker
26,Peter Graffy
32,Colin Camp
41,Colin Sunde
42,Chase Marty
44,Nicholas Ladas
48,Thomas Coolidge
52,Michael Hagenow
55,Kelsen Alexander
68,Benjamin Nelson
92,Kevin Brown
b,r,e,a,k
Chicago Machine,8
0,Jonathan Helton
01,Craig Poeppelman
02,NICK ZEMAN
04,Benjamin Spielman
05,Noah Backer
07,Brett Kolinek
08,Stephan Mance
10,Von Alanguilan
14,Bob Liu
15,Andrew Sheehan
18,Cullen Geppert
19,Jack Shey
20,Gregory Slover
25,Ron Kubalanza
26,Kevin Kelly
27,Travis Carpenter
29,Michael Schwenk
31,Walden Nelson
36,Timothy Fergus
37,Daniel Williams
45,Brett Matzuka
51,Andrew (AJ) Nelson
64,Neal Phelps
73,Adrian King
99,George Hughes
b,r,e,a,k
Doublewide,2
01,Timothy Gehret
02,Jerrod Wolfe
04,Ernesto Maximillian Cook
05,Jeff Loskorn
06,Michael Matthis
07,Kurt Gibson
08,ANDREW WATSON
09,Kevin Richardson
10,Steven Darroh
11,TREY LAMASTRES
12,Andrew Walch
13,Matthew (Skip) Sewell
14,Michael Cramer
17,JACOB ANDERSON
18,Daniel Emmons
19,Ethan Pollack
20,Chase Cunningham
21,William Driscoll
22,KIRAN THOMAS
24,Rory Orloff
30,Dalton Smith
31,Brandon Malecek
33,Ryan Purcell
42,Ryan Bigley
49,Caleb Denecour
84,Mike Ogren
b,r,e,a,k
Sub Zero,14
01,Ryan Osgar
02,Ben Feldman
03,Galen Ryan
04,Benjamin Jagt
05,Josh Klane
06,Grayson Pangburn
08,Erik Jorgensen
09,Simon Montague
11,Conor Kline
12,Harper Garvey
13,Anthony Poletto
14,Gregory Cousins
15,Logan Weiss
17,Ethan Rasmussen
19,Marcus Ellson
22,Eric von Kampen
23,Nicholas Vogt
24,Connor Anderson
25,Nick Stuart
26,Grant Lindsley
31,Jason Tschida
42,Matt Burkhardt
71,Nicholas Simonelli
88,Patrick Jensen
93,Kyle Gill
96,Joe Simonelli
99,Tristan Van De Moortele
b,r,e,a,k
Ring of Fire,11
0,Ken Porter
01,Justin Allen
02,Hunter Taylor
03,Josh Mullen
04,DANIEL KANTOR
05,Taylor Pope
06,Ben Dieter
07,Jonathan Nethercutt
08,Terrence Mitchell
09,JD Hastings
10,JARRETT BOWEN
11,DENNIS TARASI
12,Joey Cretella
13,Shane Sisco
18,Jared Inselmann
20,DREW CHANDLER
22,Brian Casey
23,Micah Hood
24,Noah Saul
28,Jack Williams
33,ROY MATTHEWS
33,Mark Lin
34,Tristan Green
51,Tim McAllister
54,Stephen Bender
80,Kristjan Loorits
84,David Richardson
b,r,e,a,k
Rhino,7
0,Tyler Cable
01,Jacob Janin
03,JUSTIN BECKER
04,ELI BLACKMAN
05,Connor Matthews
06,Cody Bjorklund
07,Eli Friedman
08,Benjamin Whitenack
10,Breeze Strout
11,Matt Melius
12,Riley Meinershagen
13,Timmy Perston
14,Adam Rees
18,Bryson Fox
21,Benjamin McGinn
22,Grant Cole
24,Eli Janin
27,Trevor Smith
31,Kevin Minderhout
36,Adam Fagin
42,Jeremy Norden
55,Dylan Freechild
65,Topher Davis
70,Christopher Strub
77,Brian Penner
88,DAN SUPPNICK
b,r,e,a,k
Sockeye,3
01,Donald Clark
02,John Raynolds
03,Mario O'Brien
04,ALEXANDER LENON
06,Phil Murray
07,Jacob Speidel
08,Matthew Rehder
09,Sam Harkness
10,Adam Simon
11,Reid Koss
13,Dongyang Chen
14,Kenneth Lim
16,Mark Burton
17,Zane Rankin
18,Matthew Russell
20,Michael Caldwell
21,Jesse Bolton
22,Spencer Wallis
23,Danny Karlinsky
24,Joe Sefton
25,Frank Devin Barich
28,Duncan Linn
33,Samuel Hart
55,Will Chen
70,Julian Hausman
97,Zack Smith
99,Ray Illian
b,r,e,a,k
Florida United,10
02,Jeremy Langdon
03,James Dahl
04,Bobby Patterson
06,Tyler Kunsa
07,Danny Bumgarner
08,Bennett Wachob
09,Bobby Ley
10,Andrew Roney
11,Mischa Freystaetter
12,Travis Catron
13,Alton Gaines
14,Cole Sullivan
15,Dustin Travaglini
17,Morgan Bambace
18,Chris LaRocque
23,Billy O'Bryan
30,Chris Gibson
31,Andrew McKelvey
32,Andrew Roca
33,John Best
37,Peter van de Burgt
39,Jordan Huston
45,DANIEL PETRONIO
74,Stuart Little
75,Ryan Chard
92,Jason Silverman
b,r,e,a,k
Truck Stop,6
02,Bradley Scott
03,Keven Moldenhauer
04,Delrico Johnson
05,David Cranston
06,Bobby Gordon
07,Ben Feng
08,Peter Prial
09,Tom Doi
10,SETH WIGGINS
11,Jonathan Neeley
12,David Boylan-Kolchin
14,Sean Childers
15,Nathan Castine
16,Tyler Monroe
17,Eric Miner
21,John Agan
22,Brian Marshall
25,Matthew Gordon
27,Cody Johnston
28,Matthew Rowan McDonnell
36,Nick Spiva
43,Joe Freund
45,Jeff Wodatch
61,Erik Salmi
88,Calvin Oung
90,Markham Shofner
99,Alan Kolick
b,r,e,a,k
GOAT,15
02,MIKE JONES
03,Andrew Carroll
07,KARL-FRéDéRICK LOISEAU
09,Derek Alexander
12,Remi Ojo
13,JONATHAN MARTIN
15,Jacky Hau
17,Isaiah Masek-Kelly
18,Toly Vasilyev
19,Thomson McKnight
20,Jeff Lindquist
21,Geoffrey Powell
23,TREVOR HENRY
27,Nathan Hirst
30,Greg Ellis
41,GORDON HARRISON
43,Andrew Ouchterlony
45,David Hochhalter
61,Sachin Raina
64,NIMA MOSTAGHIMI
72,Iain MacKenzie
75,Cameron Burden
81,Adrian Yearwood
82,Jay Boychuk
91,Cameron Harris
b,r,e,a,k
Johnny Bravo,5
02,Sean Keegan
03,Jesse Roehm
06,Bart Watson
07,David Wheeler
08,Pawel Janas
09,WILL LOKKE
10,C Ryan Morgan
11,Nicholas Lance
12,Eric Johnson
13,Evan Padget
14,CRAIG FORSHEE
15,Dennison Bechis
16,RYAN FARRELL
19,Ian Toner
20,Joshua Ackley
21,Joseph Anderson
22,Stanley Peterson
23,Jimmy Mickle
24,Jackson Kloor
26,Owen Westbrook
28,Hylke Snieder
34,Henry Konker
35,Todd Wolma
36,Matthew Farrell
42,Ben Lohre
77,Ben Snell
85,Calvin Delamere
b,r,e,a,k
HIGH FIVE,4
01,Alex Edinger
02,HAMZA DODO
03,Matt Wilken
04,Nick Hamilton
05,Austin Engel
06,James Highsmith
07,John-Michael Guest
08,JESSE WOHL
09,Michael Meilstrup
10,David Bentrovato
11,Jordan Rhyne
12,Mitch Cihon
14,Mike Bruce
15,Connor Haley
16,Kevin Coulter
17,NATE BOTTI
19,Paul Arters
20,Eliot Alexander
21,Ben Ayres
22,Michael Dagher-Margosian
23,Benjamin Whiteman
28,Michael Jahn
34,Jesse Buchsbaum
45,Kevin Baumann
47,Phil Cherosky
55,Johnny Bansfield
98,Dan Donovan
b,r,e,a,k
Ironside,9
00,Jacob Taylor
01,Josh Markette
05,Christoph Koeble
06,James Smart
07,William Neff
08,Alex Cooper
09,Eli Motycka
10,Tyler Chan
11,Christian Foster
12,Alex Simmons
13,Tom Annen
14,Miles Montgomery-Butler
15,Tannor Johnson
17,R. Thomas Sayre-McCord
18,Jim Foster
21,Misha Herscu
22,Jordan Queckboerner
23,Mark Vandenberg
24,David Reshef
25,John Stubbs
27,Jack Hatchett
28,Benjamin Katz
42,Teddy Browar-Jarus
77,Danny Clark
84,Alex Kapinos
b,r,e,a,k
Prairie Fire,16
02,Jay Froude
03,DANIEL AGNE
04,Joe Young
05,Allen Jones
