Hendrix Ultimate Experience,college-womens,19,2,2011
Conway,Arkansas,2011-02-19,2011-02-20
https://scorereport.net/2011/college-womens/event8755
Harding
b,r,e,a,k
Hendrix-Y
b,r,e,a,k
Hendrix-X
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Harding,Hendrix-Y,13,5,"02/19/2011, 10:40",Pool A,final
Hendrix-X,Hendrix-Y,11,5,"02/19/2011, 12:20",Pool A,final
Harding,Hendrix-X,13,12,"02/19/2011, 14:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
