Williams Turf Tournament,college-womens,20,2,2011
Williamstown,MA,2011-02-20,2011-02-20
https://scorereport.net/2011/college-womens/event8773
Middlebury
b,r,e,a,k
Williams
b,r,e,a,k
Dartmouth
b,r,e,a,k
Vermont
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Middlebury,Williams,9,4,"02/20/2011, 10:30",Pool A,final
Dartmouth,Vermont,8,7,"02/20/2011, 10:30",Pool A,final
Middlebury,Dartmouth,12,8,"02/20/2011, 12:00",Pool A,final
Williams,Vermont,8,6,"02/20/2011, 12:00",Pool A,final
Middlebury,Vermont,10,7,"02/20/2011, 13:30",Pool A,final
Dartmouth,Williams,10,5,"02/20/2011, 13:30",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
