Bonanza Round Robin,college-womens,26,2,2011
Harrisonburg,VA,2011-02-26,2011-02-26
https://scorereport.net/2011/college-womens/event8980
YHB Varsity
b,r,e,a,k
Virginia-B
b,r,e,a,k
James Madison-B
b,r,e,a,k
Delaware-B
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool X
YHB Varsity,Virginia-B,10,4,"02/26/2011, 09:00",Pool X,final
YHB Varsity,James Madison-B,8,5,"02/26/2011, 10:20",Pool X,final
YHB Varsity,Delaware-B,9,7,"02/26/2011, 11:40",Pool X,final
Delaware-B,James Madison-B,1,11,"02/26/2011, 13:00",Pool X,final
Delaware-B,Virginia-B,1,9,"02/26/2011, 14:20",Pool X,final
Virginia-B,James Madison-B,7,3,"02/26/2011, 15:40",Pool X,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
