WUT UP NY?!?,college-womens,14,5,2011
Rochester,NY,2011-05-14,2011-05-14
https://scorereport.net/2011/college-womens/event9280
2011000A
b,r,e,a,k
2011000C
b,r,e,a,k
2011000B
b,r,e,a,k
2011000D
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
2011000A,2011000C,,,"05/14/2011, 10:00",Pool A,scheduled
2011000B,2011000D,,,"05/14/2011, 10:00",Pool A,scheduled
2011000A,2011000D,,,"05/14/2011, 11:00",Pool A,scheduled
2011000B,2011000C,,,"05/14/2011, 11:00",Pool A,scheduled
2011000A,2011000B,,,"05/14/2011, 12:00",Pool A,scheduled
2011000C,2011000D,,,"05/14/2011, 12:00",Pool A,scheduled
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
