2011 USAU Florida D-I College Women's CC,college-womens,16,4,2011
Orlando,FL,2011-04-16,2011-04-17
https://scorereport.net/2011/college-womens/event8627
Florida State-B
b,r,e,a,k
Miami
b,r,e,a,k
Florida State
b,r,e,a,k
South Florida
b,r,e,a,k
Central Florida
b,r,e,a,k
Florida-B
b,r,e,a,k
Florida
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Florida State-B,Miami,0,13,"04/16/2011, 09:00",Pool A,final
Florida State,South Florida,9,6,"04/16/2011, 09:00",Pool A,final
Central Florida,Florida-B,12,3,"04/16/2011, 09:00",Pool A,final
Florida,South Florida,10,3,"04/16/2011, 10:45",Pool A,final
Florida State,Florida-B,13,0,"04/16/2011, 10:45",Pool A,final
Central Florida,Miami,11,5,"04/16/2011, 10:45",Pool A,final
Florida,Central Florida,9,4,"04/16/2011, 12:30",Pool A,final
Florida State,Miami,13,1,"04/16/2011, 12:30",Pool A,final
Florida State-B,Florida-B,2,11,"04/16/2011, 12:30",Pool A,final
Florida,Florida State-B,13,0,"04/16/2011, 14:15",Pool A,final
South Florida,Miami,11,7,"04/16/2011, 14:15",Pool A,final
Central Florida,Florida State,8,5,"04/16/2011, 16:00",Pool A,final
Florida,Florida-B,13,1,"04/16/2011, 16:00",Pool A,final
South Florida,Florida State-B,11,1,"04/16/2011, 16:00",Pool A,final
Miami,Florida-B,12,5,"04/17/2011, 09:00",Pool A,final
Florida,Florida State,13,4,"04/17/2011, 10:45",Pool A,final
South Florida,Florida-B,10,6,"04/17/2011, 10:45",Pool A,final
Central Florida,Florida State-B,13,2,"04/17/2011, 10:45",Pool A,final
Florida,Miami,W,F,"04/17/2011, 12:30",Pool A,final
Florida State,Florida State-B,13,3,"04/17/2011, 12:30",Pool A,final
Central Florida,South Florida,13,3,"04/17/2011, 12:30",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
