3rd biannual Winter on the Turf,college-open,4,3,2007
Williamstown,MA,2007-03-04,2007-03-04
https://scorereport.net/2007/college-open/event3421
Coast Guard
b,r,e,a,k
Wesleyan
b,r,e,a,k
Williams-C
b,r,e,a,k
Williams
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Coast Guard,Wesleyan,2,15,"03/04/2007, 09:15",Pool A,final
Williams-C,Wesleyan,0,15,"03/04/2007, 11:25",Pool A,final
Coast Guard,Williams,4,15,"03/04/2007, 11:25",Pool A,final
Williams-C,Coast Guard,7,15,"03/04/2007, 13:35",Pool A,final
Wesleyan,Williams,6,15,"03/04/2007, 13:35",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
