Jive Fest; Spring Chicken VII,college-open,7,4,2007
Carlisle,PA,2007-04-07,2007-04-08
https://scorereport.net/2007/college-open/event3453
Grey Till
b,r,e,a,k
Franklin & Marshall-B
b,r,e,a,k
Sweet Po-Ta-Ta's
b,r,e,a,k
Forsythians
b,r,e,a,k
God Feathers
b,r,e,a,k
Beachside Colonizers
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Grey Till,Franklin & Marshall-B,13,0,"04/07/2007, 02:35",Pool A,final
Grey Till,Sweet Po-Ta-Ta's,13,3,"04/07/2007, 04:00",Pool A,final
Grey Till,Forsythians,1,0,"04/07/2007, 05:25",Pool A,final
God Feathers,Grey Till,9,8,"04/08/2007, 08:35",Pool A,final
Grey Till,Beachside Colonizers,13,4,"04/08/2007, 10:00",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,Sunday Afternoon
bracket,Chumpionship
b,r,e,a,k
