Round Robin @ Wesleyan,college-open,31,3,2007
Middletown,CT,2007-03-31,2007-03-31
https://scorereport.net/2007/college-open/event3565
Massachusetts
b,r,e,a,k
Connecticut College
b,r,e,a,k
Wesleyan
b,r,e,a,k
Amherst (ARHS)
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Massachusetts,Connecticut College,15,7,"03/31/2007, 10:00",Pool A,final
Wesleyan,Amherst (ARHS),7,15,"03/31/2007, 10:00",Pool A,final
Massachusetts,Amherst (ARHS),15,11,"03/31/2007, 12:10",Pool A,final
Connecticut College,Wesleyan,12,15,"03/31/2007, 12:10",Pool A,final
Massachusetts,Wesleyan,15,13,"03/31/2007, 14:20",Pool A,final
Connecticut College,Amherst (ARHS),11,15,"03/31/2007, 14:20",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
