2013 USAU Hudson Valley D-1 College Open CC,college-open,20,4,2013
New Britain,CT,2013-04-20,2013-04-21
https://scorereport.net/2013/college-open/event12601
Central Connecticut State
b,r,e,a,k
Yale
b,r,e,a,k
SUNY-Albany
b,r,e,a,k
SUNY-New Paltz
b,r,e,a,k
Connecticut
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Central Connecticut State,Yale,11,10,"04/20/2013, 10:00",Pool A,final
SUNY-Albany,SUNY-New Paltz,W,L,"04/20/2013, 10:00",Pool A,final
Connecticut,Yale,13,5,"04/20/2013, 11:45",Pool A,final
Central Connecticut State,SUNY-Albany,10,9,"04/20/2013, 11:45",Pool A,final
Connecticut,SUNY-New Paltz,13,6,"04/20/2013, 13:30",Pool A,final
Yale,SUNY-Albany,13,2,"04/20/2013, 13:30",Pool A,final
Connecticut,SUNY-Albany,13,5,"04/20/2013, 15:15",Pool A,final
Central Connecticut State,SUNY-New Paltz,13,5,"04/20/2013, 15:15",Pool A,final
Yale,SUNY-New Paltz,W,L,"04/20/2013, 17:00",Pool A,final
Connecticut,Central Connecticut State,13,6,"04/20/2013, 19:00",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
Yale,Central Connecticut State,W,L,"04/21/2013, 10:00",Championship Bracket,final
Connecticut,Yale,15,5,"04/21/2013, 12:00",Championship Bracket,final
bracket,3rd Place Bracket - Game to Go
SUNY-Albany,SUNY-New Paltz,W,L,"04/21/2013, 10:00",3rd Place Bracket - Game to Go,final
SUNY-Albany,Central Connecticut State,W,L,"04/21/2013, 12:00",3rd Place Bracket - Game to Go,final
b,r,e,a,k
