Houston Open,college-open,30,3,2013
Houston,TX,2013-03-30,2013-03-30
https://scorereport.net/2013/college-open/event12826
Rice
b,r,e,a,k
Houston
b,r,e,a,k
Lamar
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Rice,Houston,13,3,"03/30/2013, 09:00",Pool A,final
Lamar,Houston,13,9,"03/30/2013, 10:25",Pool A,final
Rice,Lamar,13,4,"03/30/2013, 11:50",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Rice,Houston,13,4,"03/30/2013, 13:50",Bracket,final
bracket,Bracket
Rice,Lamar,13,6,"03/30/2013, 15:15",Bracket,final
b,r,e,a,k
