Joint Summit XXIX-Columbia,college-open,19,1,2013
Columbia,SC,2013-01-19,2013-01-19
https://scorereport.net/2013/college-open/event12039
Florida
b,r,e,a,k
South Carolina
b,r,e,a,k
Clemson
b,r,e,a,k
South Carolina Alumni
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Florida,South Carolina,15,7,"01/19/2013, 09:30",Pool A,final
Clemson,South Carolina Alumni,11,15,"01/19/2013, 09:30",Pool A,final
Florida,South Carolina Alumni,13,10,"01/19/2013, 11:15",Pool A,final
Clemson,South Carolina,14,10,"01/19/2013, 11:15",Pool A,final
Florida,Clemson,15,12,"01/19/2013, 13:00",Pool A,final
South Carolina,South Carolina Alumni,13,15,"01/19/2013, 13:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
