2013 USAU Big Sky D-1 College Open CC,college-open,13,4,2013
Salt Lake City,Utah,2013-04-13,2013-04-14
https://scorereport.net/2013/college-open/event12592
Whitman
b,r,e,a,k
Brigham Young
b,r,e,a,k
Boise State
b,r,e,a,k
Utah State
b,r,e,a,k
Gonzaga
b,r,e,a,k
Washington State
b,r,e,a,k
Idaho
b,r,e,a,k
Utah
b,r,e,a,k
Montana
b,r,e,a,k
Montana State
b,r,e,a,k
Brigham Young-B
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Whitman,Brigham Young,14,12,"04/13/2013, 09:00",Pool A,final
Boise State,Utah State,13,9,"04/13/2013, 09:00",Pool A,final
Whitman,Gonzaga,13,7,"04/13/2013, 10:45",Pool A,final
Utah State,Brigham Young,5,13,"04/13/2013, 10:45",Pool A,final
Boise State,Brigham Young,8,13,"04/13/2013, 12:30",Pool A,final
Gonzaga,Utah State,9,13,"04/13/2013, 12:30",Pool A,final
Whitman,Utah State,13,7,"04/13/2013, 14:15",Pool A,final
Boise State,Gonzaga,13,1,"04/13/2013, 14:15",Pool A,final
Whitman,Boise State,11,10,"04/13/2013, 16:00",Pool A,final
Gonzaga,Brigham Young,2,13,"04/13/2013, 16:00",Pool A,final
pool,Pool B
Washington State,Idaho,11,8,"04/13/2013, 09:00",Pool B,final
Utah,Montana,6,11,"04/13/2013, 09:00",Pool B,final
Montana State,Brigham Young-B,11,7,"04/13/2013, 09:00",Pool B,final
Washington State,Montana,12,10,"04/13/2013, 10:45",Pool B,final
Utah,Montana State,12,10,"04/13/2013, 10:45",Pool B,final
Idaho,Brigham Young-B,11,6,"04/13/2013, 10:45",Pool B,final
Washington State,Montana State,11,3,"04/13/2013, 12:30",Pool B,final
Utah,Brigham Young-B,11,3,"04/13/2013, 12:30",Pool B,final
Montana,Idaho,11,3,"04/13/2013, 12:30",Pool B,final
Washington State,Brigham Young-B,11,1,"04/13/2013, 14:15",Pool B,final
Utah,Idaho,11,5,"04/13/2013, 14:15",Pool B,final
Montana,Montana State,9,5,"04/13/2013, 14:15",Pool B,final
Washington State,Utah,11,7,"04/13/2013, 16:00",Pool B,final
Montana State,Idaho,8,11,"04/13/2013, 16:00",Pool B,final
Montana,Brigham Young-B,11,2,"04/13/2013, 16:00",Pool B,final
b,r,e,a,k
brackets,Bracket
bracket,1st Place Game
Whitman,Washington State,13,6,"04/14/2013, 11:15",1st Place Game,final
bracket,2nd Place Bracket
Boise State,Utah,13,7,"04/14/2013, 09:30",2nd Place Bracket,final
Montana,Utah State,13,10,"04/14/2013, 09:30",2nd Place Bracket,final
Montana,Washington State,13,2,"04/14/2013, 11:15",2nd Place Bracket,final
Montana,Boise State,11,8,"04/14/2013, 11:15",2nd Place Bracket,final
bracket,5th Place
Montana State,Gonzaga,13,8,"04/14/2013, 09:30",5th Place,final
Idaho,Utah,12,11,"04/14/2013, 11:15",5th Place,final
Montana State,Utah State,11,10,"04/14/2013, 11:15",5th Place,final
Montana State,Idaho,12,11,"04/14/2013, 13:00",5th Place,final
bracket,7th Place
Utah,Gonzaga,W,F,"04/14/2013, 13:00",7th Place,final
Utah,Utah State,W,F,"04/14/2013, 14:45",7th Place,final
b,r,e,a,k
