Hit The Snooze,college-open,27,3,2013
,,2013-03-27,2013-03-27
https://scorereport.net/2013/college-open/event12886
RIT
b,r,e,a,k
SUNY-Buffalo-B
b,r,e,a,k
SUNY-Buffalo
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
RIT,SUNY-Buffalo-B,8,10,"03/27/2013, 09:00",Pool A,final
SUNY-Buffalo,SUNY-Buffalo-B,10,0,"03/27/2013, 11:00",Pool A,final
RIT,SUNY-Buffalo,2,11,"03/27/2013, 13:00",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,Bracket
SUNY-Buffalo-B,RIT,11,8,"03/27/2013, 17:00",Bracket,final
bracket,Bracket
SUNY-Buffalo,RIT,11,2,"03/27/2013, 19:00",Bracket,final
b,r,e,a,k
