2013 USAU South New England D-1 College Open CC,college-open,13,4,2013
Providence,RI,2013-04-13,2013-04-13
https://scorereport.net/2013/college-open/event12640
Brown
b,r,e,a,k
Williams
b,r,e,a,k
Massachusetts
b,r,e,a,k
Rhode Island
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Brown,Williams,15,12,"04/13/2013, 11:00",Pool A,final
Massachusetts,Rhode Island,15,4,"04/13/2013, 11:00",Pool A,final
Brown,Rhode Island,15,2,"04/14/2013, 01:00",Pool A,final
Massachusetts,Williams,15,7,"04/14/2013, 01:00",Pool A,final
Brown,Massachusetts,16,15,"04/14/2013, 15:00",Pool A,final
Williams,Rhode Island,15,10,"04/14/2013, 15:00",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,Bracket (only if needed)
b,r,e,a,k
