2013 USAU Lake Superior Dev College Open CC,college-open,13,4,2013
Delafield,WI,2013-04-13,2013-04-14
https://scorereport.net/2013/college-open/event12607
Wisconsin-B
b,r,e,a,k
Wisconsin-Milwaukee-B
b,r,e,a,k
Wisconsin-TIE
b,r,e,a,k
Wisconsin-C
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Wisconsin-B,Wisconsin-Milwaukee-B,15,5,"04/13/2013, 10:45",Pool A,final
Wisconsin-TIE,Wisconsin-C,15,0,"04/13/2013, 10:45",Pool A,final
Wisconsin-B,Wisconsin-C,15,3,"04/13/2013, 12:30",Pool A,final
Wisconsin-TIE,Wisconsin-Milwaukee-B,13,7,"04/13/2013, 12:30",Pool A,final
Wisconsin-B,Wisconsin-TIE,13,7,"04/13/2013, 14:15",Pool A,final
Wisconsin-Milwaukee-B,Wisconsin-C,15,6,"04/13/2013, 14:15",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
