Wentworth Frisbee Tournament,college-open,31,3,2013
Boston,MA,2013-03-31,2013-03-31
https://scorereport.net/2013/college-open/event12866
Wentworth
b,r,e,a,k
Worcester Polytech
b,r,e,a,k
Berklee
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Wentworth,Worcester Polytech,13,9,"03/31/2013, 18:30",Bracket,final
bracket,Bracket
Worcester Polytech,Berklee,13,7,"03/31/2013, 20:00",Bracket,final
bracket,Bracket
Wentworth,Berklee,13,2,"03/31/2013, 21:30",Bracket,final
b,r,e,a,k
