2013 USAU Ohio Dev College Open CC,college-open,13,4,2013
North Ridgeville,OH,2013-04-13,2013-04-13
https://scorereport.net/2013/college-open/event12623
Ohio State-B
b,r,e,a,k
Cincinnati-B
b,r,e,a,k
Dayton-B
b,r,e,a,k
Case Western Reserve-B
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Championship
Ohio State-B,Dayton-B,13,7,"04/13/2013, 12:00",Championship,final
Dayton-B,Case Western Reserve-B,15,8,"04/13/2013, 12:00",Championship,final
Ohio State-B,Cincinnati-B,15,6,"04/13/2013, 22:00",Championship,final
bracket,2nd/3rd Place - Game to Go
Case Western Reserve-B,Cincinnati-B,15,9,"04/13/2013, 12:00",2nd/3rd Place - Game to Go,final
Dayton-B,Case Western Reserve-B,12,4,"04/13/2013, 14:00",2nd/3rd Place - Game to Go,final
b,r,e,a,k
