Desert Sectionals,open club,18,9,2004
Tempe,AZ,2004-09-18,2004-09-18
https://scorereport.net/2004/open/event736
Iocane
b,r,e,a,k
Ironwood
b,r,e,a,k
Sprawl
b,r,e,a,k
Sunburn
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Iocane,Ironwood,7,15,"09/18/2004, 09:00",Pool A,final
Sprawl,Sunburn,15,13,"09/18/2004, 09:00",Pool A,final
Iocane,Sprawl,15,11,"09/18/2004, 11:00",Pool A,final
Ironwood,Sunburn,15,4,"09/18/2004, 11:00",Pool A,final
Iocane,Sunburn,15,5,"09/18/2004, 13:00",Pool A,final
Sprawl,Ironwood,11,15,"09/18/2004, 13:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
