Charlotte Latin Round Robin,mixed club,9,9,2006
Charlotte,NC,2006-09-09,2006-09-09
https://scorereport.net/2006/mixed/event2897
MAC
b,r,e,a,k
Hot SAUCE
b,r,e,a,k
Frito Layouts
b,r,e,a,k
Charlotte Latin
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
MAC,Hot SAUCE,10,15,"09/09/2006, 11:00",Pool A,final
Frito Layouts,Charlotte Latin,15,5,"09/09/2006, 11:00",Pool A,final
MAC,Charlotte Latin,15,5,"09/09/2006, 13:00",Pool A,final
Hot SAUCE,Frito Layouts,15,8,"09/09/2006, 13:00",Pool A,final
MAC,Frito Layouts,1,0,"09/09/2006, 15:00",Pool A,final
Hot SAUCE,Charlotte Latin,15,5,"09/09/2006, 15:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
