Alaska Mixed Sectionals,mixed club,9,9,2006
Talkeetna,AK,2006-09-09,2006-09-09
https://scorereport.net/2006/mixed/event2871
Alaska Thrown
b,r,e,a,k
Big
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Alaska Thrown,Big,4,15,"09/09/2006, 00:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
