2012 USA Ultimate Gulf Coast Club Mixed Sectionals,mixed club,8,9,2012
New Orleans,LA,2012-09-08,2012-09-08
https://scorereport.net/2012/mixed/event11363
N.O.P.P
b,r,e,a,k
SE LOUISIANA ALLSTARS
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
N.O.P.P,SE LOUISIANA ALLSTARS,15,4,"09/08/2012, 10:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
