2012 USA Ultimate Ozark Club Mixed Sectionals,mixed club,16,9,2012
Fayetteville,AR,2012-09-16,2012-09-16
https://scorereport.net/2012/mixed/event11359
Robot Unicorn Attack
b,r,e,a,k
Hootie
b,r,e,a,k
Glory Daze
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Robot Unicorn Attack,Hootie,15,2,"09/16/2012, 10:00",Pool A,final
Glory Daze,Hootie,15,5,"09/16/2012, 12:00",Pool A,final
Robot Unicorn Attack,Glory Daze,15,2,"09/16/2012, 14:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
