Knoxville Summer League Championship,mixed club,11,8,2012
Knoxville,TN,2012-08-11,2012-08-11
https://scorereport.net/2012/mixed/event11508
Purple Nurples
b,r,e,a,k
Princess Layout
b,r,e,a,k
GanGreen
b,r,e,a,k
Goldie Blocks
b,r,e,a,k
Road Crew
b,r,e,a,k
Big Sky
b,r,e,a,k
Holes
b,r,e,a,k
Plain White D's
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Championship
Purple Nurples,Princess Layout,W,L,"08/11/2012, 09:00",Championship,final
GanGreen,Goldie Blocks,W,L,"08/11/2012, 09:00",Championship,final
Road Crew,Big Sky,13,11,"08/11/2012, 09:00",Championship,final
Holes,Plain White D's,15,9,"08/11/2012, 09:00",Championship,final
Purple Nurples,GanGreen,W,L,"08/11/2012, 11:00",Championship,final
Road Crew,Holes,13,11,"08/11/2012, 11:00",Championship,final
Purple Nurples,Road Crew,13,3,"08/11/2012, 13:00",Championship,final
bracket,5h Place Bracket
Goldie Blocks,Princess Layout,W,L,"08/11/2012, 11:00",5h Place Bracket,final
Plain White D's,Big Sky,W,L,"08/11/2012, 11:00",5h Place Bracket,final
Goldie Blocks,Plain White D's,W,L,"08/11/2012, 13:00",5h Place Bracket,final
b,r,e,a,k
