2012 USA Ultimate Hawaii Club Mixed Sectionals,mixed club,8,9,2012
Honolulu,HI,2012-09-08,2012-09-08
https://scorereport.net/2012/mixed/event11525
Sweet Ride
b,r,e,a,k
Handi-Van
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Sweet Ride,Handi-Van,16,14,"09/10/2012, 09:00",Bracket,final
b,r,e,a,k
