2012 USA Ultimate East Coast Club Mixed Sectionals,mixed club,8,9,2012
East Point,GA,2012-09-08,2012-09-08
https://scorereport.net/2012/mixed/event11362
Bucket
b,r,e,a,k
Hairy Otter
b,r,e,a,k
Southern Revival
b,r,e,a,k
Nooga By Nature
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,1st Place
Bucket,Hairy Otter,15,3,"09/08/2012, 09:00",1st Place,final
Southern Revival,Nooga By Nature,15,10,"09/08/2012, 09:00",1st Place,final
Southern Revival,Bucket,15,13,"09/08/2012, 11:00",1st Place,final
bracket,2nd Place
Nooga By Nature,Hairy Otter,15,7,"09/08/2012, 11:00",2nd Place,final
Bucket,Nooga By Nature,15,12,"09/08/2012, 13:00",2nd Place,final
b,r,e,a,k
