2012 USA Ultimate North Carolina Club Mixed Sectionals,mixed club,9,9,2012
Gibsonville,NC,2012-09-09,2012-09-09
https://scorereport.net/2012/mixed/event11365
wHagonweel
b,r,e,a,k
Boxcar
b,r,e,a,k
Cahoots
b,r,e,a,k
GreatHawks
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
wHagonweel,Boxcar,15,7,"09/09/2012, 10:00",Pool A,final
Cahoots,GreatHawks,15,1,"09/09/2012, 10:00",Pool A,final
wHagonweel,GreatHawks,15,0,"09/09/2012, 12:00",Pool A,final
Cahoots,Boxcar,15,10,"09/09/2012, 12:00",Pool A,final
wHagonweel,Cahoots,11,15,"09/09/2012, 14:00",Pool A,final
Boxcar,GreatHawks,15,2,"09/09/2012, 14:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
