Upper Valley Invite,mixed club,30,8,2012
Hanover,NH,2012-08-30,2012-09-02
https://scorereport.net/2012/mixed/event11686
Enough Monkeys
b,r,e,a,k
Nekud UFX
b,r,e,a,k
Rut
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Game 1
Enough Monkeys,Nekud UFX,11,2,"08/30/2012, 17:30",Game 1,final
bracket,Game 2
Enough Monkeys,Nekud UFX,11,6,"08/30/2012, 18:45",Game 2,final
bracket,*Bracket*
Enough Monkeys,Rut,15,9,"09/02/2012, 16:30",*Bracket*,final
b,r,e,a,k
