2012 USA Ultimate Alaska Club Mixed Sectionals,mixed club,15,9,2012
Anchorage,AK,2012-09-15,2012-09-15
https://scorereport.net/2012/mixed/event11355
Cannon Fodder
b,r,e,a,k
Uncle Oosik
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Cannon Fodder,Uncle Oosik,W,F,"09/15/2012, 09:00",Bracket,final
b,r,e,a,k
