2010 UPA West New England College Open Sectionals,college-open,24,4,2010
Williamstown,MA,2010-04-24,2010-04-25
https://scorereport.net/2010/college-open/event6589
Amherst-B
b,r,e,a,k
Williams-B
b,r,e,a,k
Massachusetts
b,r,e,a,k
Westfield State
b,r,e,a,k
Middlebury
b,r,e,a,k
Williams
b,r,e,a,k
Williams-C
b,r,e,a,k
Vermont
b,r,e,a,k
Middlebury-B
b,r,e,a,k
Amherst
b,r,e,a,k
Vermont-B
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Amherst-B,Williams-B,6,13,"04/24/2010, 09:00",Pool A,final
Massachusetts,Westfield State,13,8,"04/24/2010, 09:00",Pool A,final
Middlebury,Westfield State,13,2,"04/24/2010, 10:45",Pool A,final
Massachusetts,Amherst-B,13,0,"04/24/2010, 10:45",Pool A,final
Middlebury,Williams-B,13,3,"04/24/2010, 12:30",Pool A,final
Westfield State,Amherst-B,13,2,"04/24/2010, 12:30",Pool A,final
Middlebury,Amherst-B,13,0,"04/24/2010, 14:15",Pool A,final
Massachusetts,Williams-B,13,2,"04/24/2010, 14:15",Pool A,final
Middlebury,Massachusetts,13,10,"04/24/2010, 16:00",Pool A,final
Westfield State,Williams-B,13,6,"04/24/2010, 16:00",Pool A,final
pool,Pool B
Williams,Williams-C,11,0,"04/24/2010, 09:00",Pool B,final
Vermont,Middlebury-B,11,3,"04/24/2010, 09:00",Pool B,final
Amherst,Vermont-B,11,2,"04/24/2010, 09:00",Pool B,final
Williams,Amherst,11,3,"04/24/2010, 10:45",Pool B,final
Vermont,Vermont-B,11,0,"04/24/2010, 10:45",Pool B,final
Middlebury-B,Williams-C,11,4,"04/24/2010, 10:45",Pool B,final
Williams,Middlebury-B,11,1,"04/24/2010, 12:30",Pool B,final
Vermont,Amherst,11,4,"04/24/2010, 12:30",Pool B,final
Vermont-B,Williams-C,11,4,"04/24/2010, 12:30",Pool B,final
Williams,Vermont-B,11,3,"04/24/2010, 14:15",Pool B,final
Vermont,Williams-C,11,0,"04/24/2010, 14:15",Pool B,final
Amherst,Middlebury-B,11,3,"04/24/2010, 14:15",Pool B,final
Williams,Vermont,14,12,"04/24/2010, 16:00",Pool B,final
Vermont-B,Middlebury-B,11,9,"04/24/2010, 16:00",Pool B,final
Amherst,Williams-C,11,1,"04/24/2010, 16:00",Pool B,final
b,r,e,a,k
brackets,Bracket
bracket,1st Place Bracket
Middlebury,Vermont,15,6,"04/25/2010, 09:00",1st Place Bracket,final
Massachusetts,Williams,14,7,"04/25/2010, 09:00",1st Place Bracket,final
Middlebury,Massachusetts,13,11,"04/25/2010, 11:00",1st Place Bracket,final
bracket,2nd/3rd Place Bracket
Westfield State,Vermont-B,W,L,"04/25/2010, 09:00",2nd/3rd Place Bracket,final
Amherst,Williams-B,W,L,"04/25/2010, 09:00",2nd/3rd Place Bracket,final
Vermont,Westfield State,15,13,"04/25/2010, 11:00",2nd/3rd Place Bracket,final
Vermont,Williams,13,11,"04/25/2010, 11:00",2nd/3rd Place Bracket,final
Williams,Amherst,14,12,"04/25/2010, 11:00",2nd/3rd Place Bracket,final
Massachusetts,Vermont,13,10,"04/25/2010, 15:00",2nd/3rd Place Bracket,final
bracket,5th Place Bracket
bracket,7th Place Bracket
Williams-B,Vermont-B,13,9,"04/25/2010, 11:00",7th Place Bracket,final
b,r,e,a,k
