Bring the Huckus Invite,college-open,3,4,2010
Yardley,PA,2010-04-03,2010-04-04
https://scorereport.net/2010/college-open/event7024
SUNY-Albany
b,r,e,a,k
West Windsor-Plainsboro North HS
b,r,e,a,k
College of New Jersey
b,r,e,a,k
Lehigh-B
b,r,e,a,k
Millersville
b,r,e,a,k
Vassar-X
b,r,e,a,k
Pennsbury HS
b,r,e,a,k
Franklin & Marshall X
b,r,e,a,k
Rutgers-B
b,r,e,a,k
Bucks County CC
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
SUNY-Albany,West Windsor-Plainsboro North HS,13,10,"04/03/2010, 10:30",Pool A,final
College of New Jersey,Lehigh-B,15,3,"04/03/2010, 10:30",Pool A,final
Millersville,College of New Jersey,12,11,"04/03/2010, 12:00",Pool A,final
Lehigh-B,West Windsor-Plainsboro North HS,8,13,"04/03/2010, 12:00",Pool A,final
Millersville,West Windsor-Plainsboro North HS,14,7,"04/03/2010, 13:30",Pool A,final
SUNY-Albany,Lehigh-B,15,6,"04/03/2010, 13:30",Pool A,final
Millersville,Lehigh-B,15,7,"04/03/2010, 15:00",Pool A,final
SUNY-Albany,College of New Jersey,8,12,"04/03/2010, 15:00",Pool A,final
Millersville,SUNY-Albany,10,11,"04/03/2010, 16:30",Pool A,final
College of New Jersey,West Windsor-Plainsboro North HS,15,9,"04/03/2010, 16:30",Pool A,final
pool,Pool B
Vassar-X,Pennsbury HS,5,15,"04/03/2010, 10:30",Pool B,final
Franklin & Marshall X,Rutgers-B,10,7,"04/03/2010, 10:30",Pool B,final
Vassar-X,Bucks County CC,4,15,"04/03/2010, 12:00",Pool B,final
Rutgers-B,Pennsbury HS,8,15,"04/03/2010, 12:00",Pool B,final
Franklin & Marshall X,Pennsbury HS,10,9,"04/03/2010, 13:30",Pool B,final
Bucks County CC,Rutgers-B,8,5,"04/03/2010, 13:30",Pool B,final
Franklin & Marshall X,Bucks County CC,10,6,"04/03/2010, 15:00",Pool B,final
Vassar-X,Rutgers-B,10,7,"04/03/2010, 15:00",Pool B,final
Vassar-X,Franklin & Marshall X,5,12,"04/03/2010, 16:30",Pool B,final
Bucks County CC,Pennsbury HS,4,11,"04/03/2010, 16:30",Pool B,final
b,r,e,a,k
brackets,Bracket
bracket,Huckus Championship Bracket
Millersville,Bucks County CC,W,L,"04/04/2010, 11:00",Huckus Championship Bracket,final
Pennsbury HS,SUNY-Albany,W,L,"04/04/2010, 11:00",Huckus Championship Bracket,final
Millersville,Franklin & Marshall X,15,L,"04/04/2010, 12:45",Huckus Championship Bracket,final
Millersville,College of New Jersey,15,4,"04/04/2010, 12:45",Huckus Championship Bracket,final
College of New Jersey,Pennsbury HS,14,13,"04/04/2010, 12:45",Huckus Championship Bracket,final
b,r,e,a,k
