Bay Area B-Team Scrimmages,college-open,27,3,2010
,,2010-03-27,2010-03-27
https://scorereport.net/2010/college-open/event7167
Stanford-B
b,r,e,a,k
California-Davis-B
b,r,e,a,k
California-B
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Stanford-B,California-Davis-B,11,5,"03/27/2010, 09:00",Pool A,final
California-B,California-Davis-B,10,9,"03/27/2010, 11:00",Pool A,final
Stanford-B,California-B,11,7,"03/27/2010, 13:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
