Emerald City Classic,womens club,18,8,2007
Burlington,Wa,2007-08-18,2007-08-19
https://scorereport.net/2007/womens/event4010
Fury
b,r,e,a,k
Traffic
b,r,e,a,k
Riot
b,r,e,a,k
Brute Squad
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket for 1st place
Fury,Traffic,15,5,"08/19/2007, 00:00",Bracket for 1st place,final
Fury,Riot,16,15,"08/19/2007, 00:00",Bracket for 1st place,final
Riot,Brute Squad,15,10,"08/19/2007, 00:00",Bracket for 1st place,final
bracket,3rd place game
Brute Squad,Traffic,9,1,"08/19/2007, 00:00",3rd place game,final
b,r,e,a,k
