Michigan Women's Sectionals,womens club,15,9,2007
Ann Arbor,MI,2007-09-15,2007-09-15
https://scorereport.net/2007/womens/event3878
MOJO
b,r,e,a,k
Infamous
b,r,e,a,k
Flywheel
b,r,e,a,k
Strut
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Championship
MOJO,Infamous,15,1,"09/15/2007, 09:00",Championship,final
Flywheel,Strut,12,9,"09/15/2007, 09:00",Championship,final
MOJO,Flywheel,14,3,"09/15/2007, 10:30",Championship,final
bracket,2nd Place
Infamous,Strut,12,10,"09/15/2007, 10:30",2nd Place,final
Flywheel,Infamous,7,3,"09/15/2007, 12:00",2nd Place,final
b,r,e,a,k
