Rocky Mountain Women's Sectionals,womens club,16,9,2007
Boulder,CO,2007-09-16,2007-09-16
https://scorereport.net/2007/womens/event3903
Rare Air
b,r,e,a,k
KALI - CU
b,r,e,a,k
Box
b,r,e,a,k
Colorado Academy Women
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Rare Air,KALI - CU,15,0,"09/16/2007, 09:00",Pool A,final
Box,Colorado Academy Women,15,0,"09/16/2007, 09:00",Pool A,final
Rare Air,Colorado Academy Women,15,1,"09/16/2007, 11:00",Pool A,final
Box,KALI - CU,15,0,"09/16/2007, 11:00",Pool A,final
Rare Air,Box,11,7,"09/16/2007, 13:00",Pool A,final
KALI - CU,Colorado Academy Women,7,7,"09/16/2007, 13:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
