Northwest Plains Women's Sectionals,womens club,20,9,2008
Maple Plain,MN,2008-09-20,2008-09-20
https://scorereport.net/2008/womens/event5166
Pop
b,r,e,a,k
Lady Zerks
b,r,e,a,k
Madison Jazz
b,r,e,a,k
Thrill Show
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Championship
Pop,Lady Zerks,15,0,"09/20/2008, 00:00",Championship,final
Pop,Madison Jazz,15,6,"09/20/2008, 00:00",Championship,final
Madison Jazz,Thrill Show,15,3,"09/20/2008, 00:00",Championship,final
bracket,2nd Place
Madison Jazz,Thrill Show,15,5,"09/20/2008, 00:00",2nd Place,final
Thrill Show,Lady Zerks,15,3,"09/20/2008, 00:00",2nd Place,final
b,r,e,a,k
