Desert Women's Sectionals,womens club,20,9,2008
Tucson,AZ,2008-09-20,2008-09-20
https://scorereport.net/2008/womens/event5131
Mucho Gusto
b,r,e,a,k
Albuquerque Women
b,r,e,a,k
PHX-ation
b,r,e,a,k
Scorch
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Mucho Gusto,Albuquerque Women,15,5,"09/20/2008, 16:00",Pool A,final
PHX-ation,Scorch,13,7,"09/20/2008, 16:00",Pool A,final
Mucho Gusto,Scorch,17,1,"09/20/2008, 18:00",Pool A,final
PHX-ation,Albuquerque Women,11,16,"09/20/2008, 18:00",Pool A,final
Mucho Gusto,PHX-ation,17,2,"09/20/2008, 20:00",Pool A,final
Albuquerque Women,Scorch,11,6,"09/20/2008, 20:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
