Michigan Women's Sectionals,womens club,20,9,2008
Kalamazoo,MI,2008-09-20,2008-09-21
https://scorereport.net/2008/womens/event5157
Hooptie
b,r,e,a,k
Flywheel
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Hooptie,Flywheel,15,4,"09/20/2008, 00:00",Bracket,final
b,r,e,a,k
