2023 Southeast Mixed Regional Championship,Club - Mixed ,23,9,2023
Advance,NC,2023-09-23,2023-09-24
https://play.usaultimate.org/events/2023-Southeast-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
Space Force,1
teamInfo,,"Huntsville, Alabama",http://linktr.ee/spaceforceulti,,
coaches,Chris Brackbill,Andy Sieja,Jessica Knox Brandon
0,Mallory Schmidt
02,Melanie Thomas
03,Sara Mog
04,Meredith Johnson
05,William Bianca
06,Eric Sjostrom
07,Stephen Brandon
08,Molly Robbins
10,Matthew Radcliffe
11,Elijah Jaime
12,Bradley Fleming
15,Grace Marshall
17,Mattea Swegles
19,Victoria Ellingson
21,Chris Youngblood
25,Callahan Diercks
32,Lauren Bryant
33,Dayne Meyer
43,Jacob Miller
45,Sylvia Brown
55,Tom Radcliffe
77,Anh Spinks
87,Trenton Spinks
91,Jonathan Sillivant
98,Amy Guiles
99,Mac McClellan
b,r,e,a,k
Crown Peach,8
teamInfo,,"Atlanta, Georgia",,,
0,ALEX TAT
0,Briana Li
0,Carly Matthews
0,Hailey Gassiot
0,Jasmine Tumlin
0,Jerome Jackson
0,Matthew Davidorf
0,Reece Overholt
0,Sara Allen
0,Matthew Cook
0,Thomas Watts
0,Wesley Richey
2,Austin Poole
6,James Myatt
9,Matthew Entrekin
10,Gabrielle Hartman
11,Stephen Cook
12,Jeffrey Oravic
21,Summer Sanders
21,Maya Phillips
24,Ashley Boncimino
25,Jill Hawes
31,Chris Warren
39,Brooke  Thompson
88,Thomas O'Donnell
93,Travis Crawford
b,r,e,a,k
Too Much Fun,12
teamInfo,,"Asheville, North Carolina",,,
coaches,James Whitt
0,Daniel Gray
2,Ruth Hudson
3,Matt Gordon
4,Dean Merritt
5,Benjamin Gladstone
7,Garrett Baringer
8,Claire Meyer
10,Hannah Moore
11,TAYLOR FITZPATRICK
13,Isabela Galeano
14,Emma Appleby
17,Jackson Tambor
18,Franchesca Cassanese
19,Lilli Popovich
22,Paul Ikenberry
23,Robert Kern
28,Hailey Wunder
29,Mark Stumpf
33,Austin McGrayne
44,Henry Hill
45,Stephanie Kriston
51,Chad Gerber
81,Allison Bashford
87,Michael White
88,Hunter Gibbs
99,Taylor Dale
b,r,e,a,k
FlyTrap,13
teamInfo,,"Wilmington, North Carolina",,https://www.facebook.com/FlyTrap-Ultimate-599420990399270/,
0,Alyson Edwards
0,Andy Magee
0,Brandon Watford
0,Brittani Isidoro
0,Cristiana Falvo
0,Daniel Lemmen
0,Jacqueline  Chivers
0,Jessica Cheu
0,Joey Bye
0,Joseph Sharp
