Philly Open 2023,Club - Mixed ,5,8,2023
Allentown,PA,2023-08-05,2023-08-06
https://play.usaultimate.org/events/Philly-Open-2023/schedule/Mixed/Club-Mixed
Loco,1
teamInfo,,"West Chester, Pennsylvania",,https://www.facebook.com/wcmixed/,https://twitter.com/loco_ultimate
0,Brandon Pastor
0,Elena Lopez
0,Emily Smulowitz
0,Haley Young
0,Jack Steketee
0,Jackie Weiss
0,Janet  Ro
0,Kristin Thomas
0,Leo Warren
0,Sabrina Bonaci
0,Sarah Roberts
0,Shawn Dacey
6,Victoria Wischerth
6,Jessica Brand
10,Belle Sullivan
10,Ryan Dealy
12,Justin Keller
14,Joshua Norton
21,Regina Esser
36,Ethan Holmgren
37,Max Trifillis
69,Steven Broome
84,Matt Lubitz
85,Chase Rawlins
91,Kenneth Wells
b,r,e,a,k
NY Swipes,15
teamInfo,,"New York, New York",http://www.swipesultimate.com,https://www.facebook.com/swipesultimate/,https://www.twitter.com/swipesultimate
coaches,Benjamin Korman
0,Aimee Teplitskiy
0,Alana Hughes
0,Chloe Knopp
0,Christopher Adams
0,Connor Breen
0,Fiona Nugent
0,Francheska Lalondriz
0,Gregory Kleinman
0,Julie Ha
0,Kelly Chen
0,Kevin Yonamine
0,Marisa Schwartz
0,Michael Robertson
0,Moi Li
0,Phillip Hou
0,Sophie Kay
0,William Xu
3,Allie Hinsberg
7,David Afanador
9,Samuel Butler
10,Asher Woodbury
13,Antonio Valentin
17,Kevin Lai
25,Patrick Sheil
69,David Wingate
b,r,e,a,k
Goosebumps,14
teamInfo,,"Houston, Texas",,https://www.facebook.com/goosebumpsultimate/,
0,Aaron Liu
0,Brandon Lin
0,Catherine Liang
0,Emma Wine
0,Johnathan Tran
0,Jonathan Chiou
0,Kelsey Nanneman
0,Kimberly Tran
0,Matthew Reluzco
0,Ria Stevens
0,Sam Scott
0,Woodley Simon
3,Carmen Ly
4,Jess Phillips
4,Joshua Curtis
13,Tyler Loer
23,Ann Nguyen
25,Jennifer Li
26,Catalina Pinto
27,Luke Obregon
29,Faith Dagohoy-Bentulan
77,Reece Rose
88,Clarise Trinh
99,Kelsea Newton
b,r,e,a,k
Spice,28
teamInfo,,"Charlottesville, Virginia",,,https://twitter.com/SpiceUltimateVA
0,Eli Beech-Brown
0,Jamie Staeben
