2023 Mixed East New England Sectional Championship,Club - Mixed ,9,9,2023
Devens,MA,2023-09-09,2023-09-10
https://play.usaultimate.org/events/2023-Mixed-East-New-England-Sectional-Championship/schedule/Mixed/Club-Mixed
Sprocket,1
teamInfo,,"Lexington, Massachusetts",,https://www.facebook.com/sprocket.ultimate,
coaches,Tom Matthews,Kate Patterson,Anthony Clericuzio
1,Amanda Giles
1,Andrew Pillsbury
1,Britney DeRoehn
1,Ethan Lavallee
1,Kayla Huddell
1,Leo Blooston
1,Lily Huang
1,Michael Shriver
1,Montana Roberts
1,Nicole Chan
1,Olivia Player
1,Patrick Barron
1,Rebecca Kestin
1,Tess Johnson
1,Yigit Demiralp
2,Rocco Essex-Linehan
6,Zach Singer
7,Ivan Tran
10,Wilhelmina Graff
11,Brett Tan
11,Ryan Flamberg
15,Tannor Johnson
30,Jean Huang
60,Caitlin Go
72,Felipe Delgado
73,Clara Stewart
b,r,e,a,k
Lampshade,8
teamInfo,,"Cambridge, Massachusetts",,,
coaches,Abijith Krishnan
0,Aaron Epstein
0,Adam Alper
0,Ben Fasciano
0,Bobby Lovitch
0,Claire Blazewicz
0,Jaden Busch
0,Jordan Bricknell
0,Karina Cruz
0,Karina Palos
0,Molly Rockwood
0,Robert Shapiro
0,Rose Gordon
0,Rye Buckley
0,Liz Anusauskas
0,Sofia Grose
0,Sofia Leav
0,Varun Shah
1,Luke Webb
1,Liam Day
13,Clara Walsh
20,Kevin Murphy
22,Gina Pryciak
24,Sajani Clerk
51,Jared Kannel
74,Eva McDermott
88,Dalton Lovins
b,r,e,a,k
Electric Eyebrows,16
teamInfo,,"Seabrook, New Hampshire",,,
0,Cole Meisner
0,David Julien
0,Dominic DiVito
0,Heather Dolan
0,ISAAC JULIEN
0,Jane Hu
0,Molly Picillo
0,Sara Edquist
0,Scott Sullivan
0,Stephen Mahnke
7,Santino Marchesano
9,Andrea Parise
17,Gregory Dorian
19,Michael Rostenberg
34,Rob Parise
38,Ben Grimes
99,Kristi Schmeling
b,r,e,a,k
Boston Practice Squad,9
teamInfo,,"Boston, Massachusetts",,,
0,Finn-ann  Cotton
0,Greg Calusine
0,James Lehner
0,Charlotte Morelli
0,Josef Sears
0,Lauren Murphy
0,Liam Kaufman
0,Melanie Conn
0,Mike Barry
0,Pierre Fabris
0,Pilar Abele
0,Rachel Dovek
0,Patrick Turner
0,Selena Chavarria Lemus
0,Thomas Gerton
0,Travis McGrath
2,Jason Talerman
3,Philson Naquines
17,Alizah Barker
20,Emanuel Coleman
27,Jess Montgomery
33,Emily Wehrwein
51,Mira Anderberg
72,Joseph Sadok
97,Marta Hill
99,Sarah Nadler
b,r,e,a,k
Darkwing,2
teamInfo,,"Mansfield, Massachusetts",http://www.darkwingultimate.com,,https://twitter.com/Darkwing_Mixed
0,Alexander Donadio
0,Alicia Chang
0,Elle Burstein
0,Emet Schwartz
0,Etta Robb
0,Jacob Arwe
0,James Sabean
0,Jodi Robert
0,Mitch Giroux
0,Nikki Chang
0,Nilos Makino
0,Anna Glass
0,Chloe de Campos
0,Sophie Shen
0,Sydney Curran
0,Thomas Barry
3,Steven Her
5,Conor Dowling
9,Sara Rudolph
11,Allegra Donadio
14,Amelia Chalfant
19,Jacob Herz
35,Pierre-Yves Lavertu
40,Alex Jenkins
99,Jordan Kaufman
99,Kunzang Namgyal
b,r,e,a,k
Scarecrow,7
teamInfo,,"Manchester, New Hampshire",,www.facebook.com/ScarecrowUltimate/,www.twitter.com/ScarecrowMixed
0,Alex Joseph
0,Caitlin Whited
0,Calvin Conant
0,Danielle Chancey
0,Gabriella  Palermo
0,Kaitlin Purdy Murphy
0,Lena Bonanno
0,Ryan Creamer
0,Samuel Wedegaertner
0,Sherita Li
0,Tom Bertrand
0,Trent Linker
0,Zack Sheehan
1,Anthony Bevilacqua
2,Colby Jacques
3,Thomas Stover
5,Tyler Hall
6,Elizabeth Menard
13,Teddy Campbell
15,Stephanie Esker
24,Meghan Montgomery
27,Allison  Qualls
40,Jacee Cox
48,Lauren Bevilacqua 
72,Jason Russo
99,Ryan Benincase
b,r,e,a,k
Sunken Circus,10
teamInfo,,"Portland , Maine",,,
0,Hudson Carr
0,Maren Hennessy
1,Rick Miller
3,Camron Currier
6,Katie Abrams
8,Samantha Heinzman
9,Jay Delani 
9,Gretchen Fetscher
11,Jesse Schwartz
12,Lauren Lindman
13,Stephen Wolff
17,Molly Hale
22,Matt Bisler
25,Delaney Cox
27,Lydia Guay
31,Eloise Terry
35,gunnar heckler
42,Lee Gardner
44,Stephanie Wood
45,Henry Briggs
46,Benjamin Scharadin
66,Katie Miller
72,Kyle Jacoby
88,Owen Jacobsen
89,Chad Mcdonnell
90,Hayley SooHoo
b,r,e,a,k
Beached Whales,15
teamInfo,,"The Sea, Massachusetts",,,
0,Adam Johnston
0,Amana Vander-Heyden
0,Anne Lightbody
0,Charles Cleary
0,Dang Khoa DuBay-Dang
0,David (Salsa) Turell
0,Jacob McQuaid
0,KELLY WATTS
0,Mary Matthews
0,Niki Lesniak
0,Tyler Kenney
0,William Yori
9,Katherine Dennis
9,John Sullivan
9,Diana Swanson
19,Jacqueline Bourgeois
20,Ashton Wollett
21,Taylor Stewart
34,Joshua Dennis
41,Lewis Seton
