Commonwealth Cup Weekend2 2023,College - Women ,25,2,2023
Martinsville,VA,2023-02-25,2023-02-26
https://play.usaultimate.org/events/Commonwealth-Cup-Weekend2-2023/schedule/Women/CollegeWomen/
Northeastern,4
teamInfo,Valkyries A,"Boston, Massachusetts",http://www.ultimate.neu.edu/women/,,https://twitter.com/ValksUltimate
coaches,Jason Adams,Caitlin Go
03,Elise Freedman
04,Erin McCrea
05,Britney DeRoehn
07,Elyse Hall
10,Leila Abdul-Malak
12,Nisha Nayak
18,Irene Ren
19,Sara Bauman
27,Jess Montgomery
28,Emily Seto
30,Nancy  Jin 
31,Averil Sahagian
36,Victoria Chin
37,Ana-Karina Adrianza
44,Gabriela  Ewing
55,Nelvia Clark
63,Lucy Jin
66,Kat Brock
73,Clara Stewart
77,Johanna Guarin
97,Marta Hill
99,Lauren Murphy 
b,r,e,a,k
SUNY-Binghamton,5
teamInfo,Big Bear,"Binghamton , New York",https://bigbearultimate.wordpress.com/,https://www.facebook.com/binghamtonultimate/,
0,Amanda Szutu
0,Emily Cook
0,Lauren Marshall
0,Madeline Carter
0,Chaya Spokony
0,Samantha Colton
0,Sarah Landman
05,Melissa Torchio
08,Piper Van Kerkhove
10,Danielle Dattler
18,Arianna Edwards
21,Faith Summers
21,Susan Zheng
24,Jolie Krebs
25,Ancilla Marie Inocencio
30,Anna Purtell
34,Ava Champitto
45,Julia Heidt
47,Sarah Bases
58,Billie Feigin
b,r,e,a,k
Virginia,1
teamInfo,Hydra,"Charlottesville, Virginia",https://sites.google.com/a/virginia.edu/womens-ultimate-frisbee-club-at-the-university-of-virginia/,https://www.facebook.com/HydraNFriends/,https://twitter.com/HydraNFriends
0,Birgitta Taylor-Lillquist
0,Breanna  Donahue
0,Bridget Williams
0,Carolina Otal
0,Dorian Gaines
0,Emily Huber
0,Emily Schroeder
0,Emma  Vorathiankul
0,Keisha Enriquez
0,Kira Flores
0,Leila Troxell
0,Megan Kennedy
0,Annabel Tripodi
0,Ava Amato
0,Aviva Kosto
0,Aydan Moskowitz
0,Paulina (Syd) Kirk
0,Rachel Lisner
0,Shea Ruzich
0,Stephanie Skahen
0,Sydney Rohrbach
0,Victoria  Stoner 
8,Sydney Mannion
11,Paulina Pelaez
78,Bess Renjilian
b,r,e,a,k
Penn State,9
teamInfo,Crisis,"University Park, Pennsylvania",https://psuwomensultimate.weebly.com/,,https://twitter.com/crisisultimate
0,Adelina Piraino
0,Annalie Ayers
0,Aruzhan Yegemberdi
0,Mary Cate McCarthy
0,Megan Laubscher
0,Natalie Babitzke
0,Nina Burgos
0,Olivia Kranefuss
0,Wenjing Chen
1,Emily Demalis
3,Mackenzie Mangette
10,Haley Young
16,Marissa Palumbo
17,Sophia Pemble
18,Olivia Steinberg
