2023 Women's Florida Sectional Championship,Club - Women ,9,9,2023
Kissimmee,FL,2023-09-09,2023-09-11
https://play.usaultimate.org/events/2023-Womens-Florida-Sectional-Championship/schedule/Women/Club-Women/
Tabby Rosa,1
teamInfo,,"Gainesville, Florida",,https://www.facebook.com/TabbyRosaUltimate,https://twitter.com/TabbyRosaFL
01,Camryn Curvey
02,Bowen Xu
03,Jenny Rodriguez
04,Michelle Floyd
05,Lindsi Allman
06,Natalie Wilson
07,Kaylen Chiang
11,Andrea Jacoski
12,Larissa Ferreira
13,Jaylynne Hocutt
16,Ellie Thomson
17,Ava DuBose
20,Melani Morales
21,Catherine Euliano
22,Danielle Cordes
23,Sonya (Sunny) Harris
24,Katelyn Travaglini
25,Erin Goding
31,Harley Peters
44,Anna Hanson
52,Erynn Schroeder
66,Jemima Tolentino
69,Jennifer Collins
77,Carrie  Fisher
80,Kelsea LeBeau
b,r,e,a,k
Fiasco,2
teamInfo,,"Miami, Florida",https://www.fiascoultimate.com,https://www.facebook.com/fiascoultimate/,https://twitter.com/fiascoultimate
03,Lauren DenHoed
04,Lynn Grissom
05,Emma Francis
06,Brianna O'Connor
07,Serene Shehadeh
08,Lian Ortner
09,Megan Dimka
14,Megan Bock
16,Hannah Broos
17,Tyana Ruiz
21,Vanesa Tejero León
21,Amanda Manausa
23,Alissa Farina
25,Elizabeth McNamee
27,Stephany Rincon
32,Saula  Morón 
42,Aubree Zenone
44,Marissa Bonsangue
64,Julia Schratz
66,Darly Kittle
88,Hannah Eiger
b,r,e,a,k
Calypso,3
teamInfo,,"Tampa, Florida",,https://www.facebook.com/tampacalypso/,https://twitter.com/tampacalypso
0,Abigail  Frye
0,Amber Woolverton
0,Brittany Urban
0,Jordan Wilton
0,Kameron Standhaft
0,LISA NEYMAN
0,loni Hagen
0,Malaak Araujo
0,Megan Standhaft
0,Ruth White
0,Sara Hostelley
0,Sarah Duckett
0,Sarah Strackbein
0,Sarai Guzman
0,Sereen Hussain
0,Sydney Hostelley
0,Vanessa Clavell
b,r,e,a,k
s,t,a,g,e,s
pools,Round Robin
pool,Pool A
Calypso,Tabby Rosa,0,0,"09/09/2023, 09:15",Pool A,Scheduled
Fiasco,Tabby Rosa,0,0,"09/09/2023, 11:15",Pool A,Scheduled
Fiasco,Calypso,0,0,"09/09/2023, 13:15",Pool A,Scheduled
b,r,e,a,k
