Needle in a Ho-Stack,College - Men ,25,3,2023
Charlotte,NC,2023-03-25,2023-03-26
https://play.usaultimate.org/events/Needle-in-a-Ho-Stack2/schedule/Men/CollegeMen/
North Carolina-Charlotte,1
teamInfo,Charlotte Skyrise,"Charlotte, North Carolina",,https://www.facebook.com/groups/UNCCfrisbee/,
0,Matthew Nightingale
2,Jerrel Bushel
5,Rocky Morris
01,Hunter Frederick
07,Samuel Angiulli
08,Kallen Busker
09,Andrew Rogers
10,Angel Maldonado
11,Timothy Rees
12,Robert Niven
13,Brandon Cousar
14,Erik Kirby
15,Munir Fleurizard
17,Andrew Lam
20,Jack Simmons
21,Raam Raghav
23,Brooks Fleming
25,Ben Simmons
26,Peter Geniac
31,Jack Walsh
33,Jamie Williford
38,Michael Duda
51,Damian Delgado
59,Thomas Yoxsimer
66,Gautam Das
67,Robert Scott-Williams
69,Jacob Hawkins
72,Cole Headley
88,Christopher Saacks
92,Sean Kiser
b,r,e,a,k
Kennesaw State,8
teamInfo,Parliament,"Kennesaw, Georgia",,,
0,Bobby Burns
0,Chase Miller
0,Christian Thomas
0,Ian Maddox
0,Jesus Gonzalez
0,Jonas Griesbeck
0,Ryan Dees
2,Michael Faress
4,Eric Sinkler
8,Victor Ochoa-Lorenzo
27,Mason Myler
b,r,e,a,k
Clemson,12
teamInfo,Joint Chiefs of Waft,"Clemson, South Carolina",http://www.clemson.edu/ultimate/,,
0,Aaron Baymiller
0,Aaron Slaven
0,Adam Monn
0,Austin Veldekens
0,Ben Smith
0,Bowen DuVal
0,Brady Ferguson
0,Chapman Lee
0,Charlie Withington
0,Colin Sauls
0,Drew Boysia
0,Frank Boysia
0,Giovanni Giuliano
0,Gray Fisher
0,Hank Schmidt
0,Jack Cioffi
0,Jacob Wisniewski
0,Jake Chipper
0,Joshua Reyes
0,Joshua Boulter
0,Logan McMillen
0,Lucas Skidmore
0,Lucas Doland
0,Luke Philbin
0,Nathaniel Bieling
0,Quentin Fossing
0,Scott Dillon
0,Troy Ehrlich
0,Will Bramlet
0,William Smolka
0,William Murdoch
6,Kyle Jones
35,Wilson Bradley
b,r,e,a,k
Georgia College,13
teamInfo,Disconnected,"Milledgeville, Georgia",http://www.gcultimate.org/,https://www.facebook.com/GeorgiaCollegeDisconnected,https://twitter.com/gc_ultimate
0,Jacob Koehler
0,Samuel Johnson
0,Will Nelson
02,Liam Baldwin
05,Steven Hershberger
07,Griffin Fox
08,Tyler Weatherford
13,Mathew Gordon
14,Erik Wolstenholme
16,Shane Hendrickson
18,Ashley Clark
19,Davis Phillips
20,Sawyer Hernandez
21,Mason Wiley
25,Charles Davis V
29,William Sorel
31,Ryan Kloss
57,Sebastian Planton
64,Colin Bull
99,Robert Manser
b,r,e,a,k
North Carolina (B),17
teamInfo,BatCH,"CHAPEL HILL, North Carolina",,https://www.facebook.com/uncbatch,https://www.twitter.com/unc_batch
0,Akshay Mankad
0,Andrew Degele
0,Benjamin Armstrong
0,Charles Massey
0,Daniel Zhang
0,Dylan Youngberg
0,Eli Broun
0,Fionn Kenny
0,Gavin Woolard
0,Hyunmo Ryang
0,Jackson Dowden
0,Kevin Tanner
0,Kevin Chen
0,Michael Zaucha
0,Reece Clark
0,Ryan Lee
0,Tao William Zheng
23,James Conley
b,r,e,a,k
Middlebury,2
teamInfo,Pranksters,"Middlebury, Vermont",https://go.middlebury.edu/prankstersultimate,https://www.facebook.com/MiddleburyPranksters,https://twitter.com/pranksters69
0,Gavin Rice
0,John Savage
0,Louis Douville Beaudoin
0,Luke Stovak
0,Matthew Koplowitz
0,Nadav Melamede
0,Raffi Najarian
1,Jorre Dahl
7,Jack Waitz
7,Aidan DeLorenzo
8,Ethan DeMaio
9,Geir Hartl
13,Peter Mans
14,Jake Lyons
18,Max Zeltsar
22,Max Rogers
23,William  Fenimore
24,Malachi Raymond
34,Colman Bashore
39,Levi Hoffman
44,Kai Hoadley
63,Charles Harder
