South Central D-I College Men's Regionals,College - Men ,29,4,2023
Tulsa,OK,2023-04-29,2023-04-30
https://play.usaultimate.org/events/South-Central-D-I-College-Mens-Regionals-2023/schedule/Men/CollegeMen/
Colorado,1
teamInfo,Mamabird,"Boulder, Colorado",http://www.mamabird.com/,https://www.facebook.com/University-of-Colorado-Mamabird-361160030582581/?fref=ts,@CUMamabird
0,Benjamin Harris
00,Benton Shevlin
00,Axel Hartzog
00,Dexter Luecke
00,Geoffrey Tucker Kalmus
00,Levi Tapper
00,Max Van Sickle
00,Rishi Assar
01,Aylen Learned
03,Atkin Arnstein
04,Blake Musfeldt
05,Calvin Stoughton
07,Gaurav Prasad
07,Seth Wells
08,Daniel Landesman
09,Ryan Shigley
11,Zeke Thoreson
13,Daniel Williams
17,Nathan Buchholz
18,Carter Halstrom
22,J Calvin Rice-Slothower
25,Conor Tabor
34,Ethan Burgess
46,Nanda Min-Fink
49,Andrew Swanson
50,Daniel Bauman
83,Walt Johnson
91,Joseph Michaud
b,r,e,a,k
Texas State,8
teamInfo,Texas State Buckets,"San Marcos, Texas",,,
0,Alejandro  Valdez
0,Ashten Barker 
0,Blake Bailey
0,Caleb Tiemann
0,Connor  McLean
0,Dylan Kaifesh
0,Ellery Hale
0,Garin Davis
0,Gerrick Bowman
0,Grant Chang
0,Harris Ewald
0,Hayden Campbell
0,Jack Courts
0,Aaron Ogdee
0,Jacob Greendyk
0,Jacob Butler
0,Logan Carroll
0,Matthew Coffelt
0,Parker Kaifesh
0,Ronald Malina
0,Wyatt Christilles
2,Erik Atwell
3,Jonathan Zygarlenski
9,Jackson Potts
10,Francis  Lasta
12,Aidan Wilson
15,Jake Strickling
33,Cody Cherrington
33,Rion Saldana
88,Reid Pannell
b,r,e,a,k
Kansas,10
teamInfo,Horrorzontals,"Lawrence, Kansas",https://www.instagram.com/horrorzontals/,,https://twitter.com/HorrorZontals
coaches,Tommy Gebhardt
0,Henry Haw
0,Nickolas Krehbiel
1,John David Thor
2,Connor Looney
3,Andrew Pottinger
7,Braeden Huslig
8,Ryley Ballard
9,Luke Wirtz
10,Andrew Farrar
11,Seppo Hoijarvi
14,Connor Anderson
17,Elijah Ditto
21,Manu Redd
22,Benjamin Abell
24,David Marx
25,Dylan Mcgarr
31,Ryan Klahr
34,Peter Czerwinski
40,Liam Marsh
50,Brandon Brown
51,Judson Miller
61,Aiden Jacobs 
66,Kaden Hubler
77,Alejandro (Alex) Perez
b,r,e,a,k
Oklahoma State,15
teamInfo,Ultimato,"Stillwater, Oklahoma",,,
0,Aidan McKeller
0,Antonio Baldeon
0,Isaac Jones
0,Joseph Lynch
0,Keaton Haney
0,Macormick Lyne
0,Samuel Barney
0,Shain Hamilton
0,Simon Landrum
0,Stuart Wire
0,Will Jones
0,William Faust
0,Michael Tate
0,Nathan Turnbaugh
5,Matthew Greene
22,Justin Arney
23,Ryan Whisenhunt
32,Matthew Nare
63,Collin Wycoff
99,charlie cutts
b,r,e,a,k
Texas,2
teamInfo,TUFF,"Austin, Texas",https://texasultimatefrisbee.weebly.com/,https://www.facebook.com/TexasUltimate,https://twitter.com/texas__tuff/
coaches,Calvin Lin,Reid Bacon,JOSH BRUNELLI
0,Colton Anderson
0,Elliot Lee
0,Gavin Babbitt
0,Jake Worthington
0,Kaushal Patel
0,Kellen Watts
0,Luke Knight
0,Michael Stinger
0,Noah Powell
0,Oliver Powers
0,Peter Ngo
0,Rushil Randhar
