Mixed Easterns 2023,Club - Mixed ,3,6,2023
Devens,MA,2023-06-03,2023-06-04
https://play.usaultimate.org/events/Mixed-Easterns-2023/schedule/Mixed/Club-Mixed
Flammes en rose,25
00,Jimmy Wang
00,John Watters
00,Kayla Seeger
00,Lily Gould
00,Mei Reffsin
00,Peter Luo
00,Ruthie Tabatchnick
00,Stephenie Wang
00,Tiffany Nguyen
00,Tiffany Tai
00,TJ Dingco
00,Tom Sum
00,Tomaso Mukai
b,r,e,a,k
Red Fox Ultimate,16
teamInfo,,"Sherbrooke, Québec CA",,https://www.facebook.com/profile.php?id=100057325845287,
0,Corinne Ellyson
0,Daphnée Ladouceur
0,Elliot Christin
0,Florence Bélanger
0,Jeandaniel Dubé
0,Judith Ellyson
0,Louis-Simon Fournier
0,Marianne Fortier
0,Marie Eve Trottier
0,Adam Meloche
0,Alexis Roy
0,Charles Lambert
0,Nicolas Beaulieu
0,Samuel Dube
0,Simon Lambert
3,Charlotte Christin
6,Simon Martin
7,William Morin
33,Maude Prévost
b,r,e,a,k
Lampshade,9
teamInfo,,"Cambridge, Massachusetts",,,
0,Aaron Epstein
0,Bobby Lovitch
0,Bryan Xian
0,Jaden Busch
0,Jonathan (JP) Webel
0,Karina Cruz
0,Molly Rockwood
0,Robert Shapiro
0,Rose Gordon
0,Rye Buckley
0,Liz Anusauskas
0,Sofia Grose
0,Varun Shah
7,Brian Strothman
13,Liam Day
20,Kevin Murphy
22,Gina Pryciak
23,Samuel Wilk
24,Sajani Clerk
36,Lilly Yang-Schmidt
51,Jared Kannel
74,Eva McDermott
77,Matthew Fasano
88,Dalton Lovins
b,r,e,a,k
Sprocket,2
teamInfo,,"Lexington, Massachusetts",,https://www.facebook.com/sprocket.ultimate,
coaches,Tom Matthews,Kate Patterson
01,Aidan McLeod
01,Amanda Giles
01,Andrew Pillsbury
01,Ben Chamis
01,Britney DeRoehn
01,Emma Lowenstein
01,Ethan Lavallee
01,Hillel Rosenheim
01,Kayla Huddell
01,Lily Huang
01,Michael Shriver
01,Misha Herscu
01,Nicole Chan
01,Nikki Chang
01,Olivia Goss
01,Olivia Player
01,Patrick Barron
01,Rebecca Kestin
01,Reuben Philip
01,Jack Kwon
01,Jaden Busch
01,Tess Johnson
01,Yigit Demiralp
02,Rocco Essex-Linehan
07,Ivan Tran
10,Wilhelmina Graff
11,Ryan Flamberg
15,Tannor Johnson
30,Jean Huang
60,Caitlin Go
72,Felipe Delgado
b,r,e,a,k
Wild Card,7
teamInfo,,"Boston, Massachusetts",http://www.wildcardultimate.com/,https://www.facebook.com/wildcardult,https://twitter.com/WildCardult
0,Charlie Bushman
0,Christina Stellwagen
0,Christopher Layden
0,Fernanda Brena
0,Hannah Marr
0,Ian Kyle Antonio
0,Iris Rukshin
0,Matthew Yee
0,Maxwell Rick
0,Natalie Wheeler
0,Katherine Connelly
0,Seth Fortin
0,Tamar Austin
0,Tessa Bertozzi
4,Hannah Crowley
8,Jason Freedman
10,Annika Chan
11,Scott Dollen
13,Carolina Brager
14,Amelia Chalfant
16,Jacob Arons
24,Pablo Reimers
27,Kaitlyn Thibault
37,Matthew Heath
38,Will Burks
46,Hyunah Boo
b,r,e,a,k
Garbage Plates,10
teamInfo,,"Rochester, New York",,,https://twitter.com/gplatesulti?s=17
0,Christine Purtell
0,Dudley Loew
0,Emmett Wilson
0,Angela Dana
0,Benjamin Kelley
0,Jack Kirby
0,Kathryn Toffolo
0,Ken (KJ) Dziak
0,Kevin Mirabal
0,Madeline Franz
0,Marisa Wilson
0,MARLENA VERA-SCHOCKNER
0,Matthew Rybak
0,Sarah Sheldon
4,Matthew Hall
11,Briana Newman
17,Michael Sheldon
30,Ethan Iannicelli
36,Andrew Gallagher
39,Noelle Evans
47,Patrick Voorhees
88,Nate August
95,Peter Carter
95,Jessica Marinelli
b,r,e,a,k
Heat Wave,11
teamInfo,,"Brooklyn, New York",,,
0,Alex Becker
0,Anna Lieberman
0,Becky Chen
0,Caitlin Toner
0,Christina Secor
0,Kevin Ludwig
0,Kyle Chylinski
0,Mingxuan Zhu
0,Neeyati Johnson
0,Quinn Hermann
0,Renee Heller
0,Tia Esposito
2,Tessa Jones
4,Ethan Lieman
16,Robert Hsu
18,Emily Verticchio
20,Cameron Barth
21,Brendan Chin
21,Jonathan Chylinski
40,Justin Thomas
41,Luke Holtzman
b,r,e,a,k
League of Shadows,6
teamInfo,,"Boston, Massachusetts",,,http://www.twitter.com/los_ultimate
0,Abby Ritterband
0,Alex Mitsopoulos
0,Allie Mundis
0,Arthur Shim
0,Caitlin Lian
0,Calvin Wardle
0,Charles Marokhovsky
0,Claire Blazewicz
0,Connor Coale
0,Elizabeth Zelten
0,Evan Hu
0,Jack Deschler
0,Jenny Li
0,Julia Leung
0,Karissa  Tabtieng
0,Kate Stafford
0,Kevin O'Brien
0,Matthew Cote
0,Megan Morales
0,Melissa Tong
0,Meredith Duffy
0,Pierre Fabris
0,Terren Moore
0,Zoe Honigberg
3,Victoria Zhang
4,Theodore Bisdikian
5,David Huang
9,Ariel Felcan
15,Casey Zhu
16,Yuval Pearl
17,Lillian Huang
20,Prosser Friedman
29,Tate Tabtieng
29,Jesse Moore
96,Mina Bozeman
b,r,e,a,k
Deadweight,14
teamInfo,,"Hartford, Connecticut",,,
0,Christopher Cox
0,Claire Dutton
0,Colin Dunn
0,Ellie Mamantov
0,Ellie Jose
0,Emily Grimes
0,Ian Kreciglowa
0,Jonathan Figueroa
0,Barb Banz
0,Ben Chaimberg
0,Bobby Elston
0,Bryan Bausinger
0,Carl Lasker
0,Abigail Baer
0,Justin Baumann
0,Miranda Moore
0,Nadya Ponthempilly
0,Owen Cordes
0,Paul Ready
0,Kayla Olson
0,Sadie  Schmitz
0,Savannah Kandigian
2,Andrew Thai
7,Ricky Lewandowski
15,Caroline Eldridge
28,Katherine Overstrum
52,Ryan Strobel
69,Kenny Harvey
69,Alouette Batteau
80,Joseph Kane
b,r,e,a,k
Crash,3
teamInfo,,"Kitchener-Waterloo-Guelph, Ontario CA",http://crashultimate.ca,https://www.facebook.com/CrashUltimate,https://www.twitter.com/CrashUltimate
0,Ben Belanger
0,Dwayne Neill
0,Kevin Chao
0,Lauren Green
0,Maddie Yee
0,Madison MacArthur
0,Maggie Truong
0,Nathan Souphanthong
2,Daniel Balzerson
13,Neil Thomas
27,Christopher Mc Kie
31,Jon Hallett
b,r,e,a,k
U24 Mixed Team Canada,4
teamInfo,,"BURNABY, British Columbia CA",,,
coaches,Danie Proby
0,Zachary Armstrong
00,Alicia Zhang
00,Amelie Marshall
00,Avery Lee-Pii
00,Ben Simmonds
00,Brianna Prentice
00,Caitlin Cho
00,Calvin Coulbury
00,Cameron Kennedy
00,Charles Guay
00,Emily Cho
00,Emily Cho
00,Emily Cho
00,Emily Kavanagh
00,Felix Leonard
00,Filip Kragl
00,Grace Du
00,Grant MacDonald
00,James Carr-Pries
00,Jessica Gao
00,John Miller
00,Julien Bernat
00,Justin Luo
00,Logan Keillor
00,Meagan Gillis
00,Rosalie Damphousse
00,Tyler Gunasekera
30,Zi Cen (Monica) Wang
b,r,e,a,k
Spawn 2023,12
teamInfo,,"Fredericton, New Brunswick CA",,,
00,Alex Brewster
00,Alexis Plourde
00,Amelie Manuel
00,André Gallant
00,Becky Chasse
00,Brittany Fairweather
00,Devin Patterson
00,Eavan McLaughlin
00,Emily Hawkins
00,Gaelyn Mcmackin
00,Jacob Savoie
00,Jamie Frampton
00,Jennie Korus
00,Jessie Brown
00,Joel Beck
00,John Brown
00,Jonathan Murray
00,Joshua Christiansen
00,Leland Morehouse
00,Mark O'Connor
00,Molly Gallibois
00,NATALIE GOMEZ
00,PIERRE DAIGLE
00,Seth Porter
00,Sylvie Dupuis
b,r,e,a,k
Obscure,13
teamInfo,,"Boston, Massachusetts",,,
0,Alex (Wei Yuh) Chang
0,Anna Shanedling
0,Ariella Korn
0,Benjamin Duffy
0,Brandon Henshaw
0,Claire Dettelbach
0,Jacob Price
0,Jacqueline Willwerth
0,JEFF VINCENT
0,Kim DiMascio
0,Luke Ding
0,Luke Diorio
0,Luke Arnone
0,Sarah Cook
0,Zach DiNardo
7,Tom Bassett
14,Eli Inkelas
16,Frank Qin
22,Lauren Ding
48,David Miller
68,Benjamin Nelson
b,r,e,a,k
Darkwing,5
teamInfo,,"Mansfield, Massachusetts",http://www.darkwingultimate.com,,https://twitter.com/Darkwing_Mixed
0,Alicia Chang
0,Chloe de Campos
0,Emet Schwartz
0,Jacob Arwe
0,James Sabean
0,Jodi Robert
0,Michael Humbert
0,Mitch Giroux
0,Nolan Scheemaker
0,Sydney Curran
3,Steven Her
5,Conor Dowling
9,Sara Rudolph
11,Allegra Donadio
13,Clara Walsh
15,Hillel Rosenheim
35,Pierre-Yves Lavertu
40,Alex Jenkins
b,r,e,a,k
s,t,a,g,e,s
pools,classic pool play
pool,Pool A
Scarecrow,Flammes en rose,9,11,"06/03/2023, 09:00",Pool A,Final
Molasses Disaster,Replay,10,8,"06/03/2023, 09:00",Pool A,Final
Scarecrow,Replay,12,6,"06/03/2023, 10:30",Pool A,Final
Molasses Disaster,Flammes en rose,8,12,"06/03/2023, 10:30",Pool A,Final
Scarecrow,Molasses Disaster,13,7,"06/03/2023, 12:00",Pool A,Final
Flammes en rose,Replay,11,3,"06/03/2023, 12:00",Pool A,Final
pool,Pool B
Eat Lightning,Beached Whales,8,9,"06/03/2023, 09:00",Pool B,Final
Rainbow,Compost Plates,12,4,"06/03/2023, 09:00",Pool B,Final
Eat Lightning,Compost Plates,6,8,"06/03/2023, 10:30",Pool B,Final
Rainbow,Beached Whales,7,10,"06/03/2023, 10:30",Pool B,Final
Eat Lightning,Rainbow,8,6,"06/03/2023, 12:00",Pool B,Final
Beached Whales,Compost Plates,11,4,"06/03/2023, 12:00",Pool B,Final
pool,Pool C
Brooklyn Hive,Starfire,9,12,"06/03/2023, 09:00",Pool C,Final
Sunken Circus,Starfire,11,3,"06/03/2023, 10:30",Pool C,Final
Brooklyn Hive,Sunken Circus,6,8,"06/03/2023, 12:00",Pool C,Final
pool,Pool D
NY Swipes,Quahogs,11,7,"06/03/2023, 09:00",Pool D,Final
Lobrid,Quahogs,12,4,"06/03/2023, 10:30",Pool D,Final
NY Swipes,Lobrid,11,8,"06/03/2023, 12:00",Pool D,Final
b,r,e,a,k
clusters,Classic Crossover
cluster,Crossover play
Sunken Circus,NY Swipes,10,3,"06/03/2023, 13:30",,Final
Quahogs,Starfire,9,5,"06/03/2023, 13:30",,Final
Lobrid,Brooklyn Hive,13,6,"06/03/2023, 13:30",,Final
b,r,e,a,k
pools,Elite Pool Play
pool,Pool E
Slow,Lampshade,13,3,"06/03/2023, 09:00",Pool E,Final
Grand Army,Red Fox Ultimate,9,10,"06/03/2023, 09:00",Pool E,Final
Slow,Red Fox Ultimate,13,3,"06/03/2023, 10:30",Pool E,Final
Grand Army,Lampshade,11,5,"06/03/2023, 10:30",Pool E,Final
Slow,Grand Army,12,5,"06/03/2023, 12:00",Pool E,Final
Lampshade,Red Fox Ultimate,11,10,"06/03/2023, 12:00",Pool E,Final
pool,Pool F
Sprocket,Garbage Plates,10,9,"06/03/2023, 09:00",Pool F,Final
Wild Card,Garbage Plates,11,5,"06/03/2023, 10:30",Pool F,Final
Sprocket,Wild Card,13,5,"06/03/2023, 12:00",Pool F,Final
pool,Pool G
Crash,Heat Wave,12,5,"06/03/2023, 09:00",Pool G,Final
League of Shadows,Deadweight,8,7,"06/03/2023, 09:00",Pool G,Final
Crash,Deadweight,3,11,"06/03/2023, 10:30",Pool G,Final
League of Shadows,Heat Wave,6,9,"06/03/2023, 10:30",Pool G,Final
Crash,League of Shadows,7,8,"06/03/2023, 12:00",Pool G,Final
Heat Wave,Deadweight,10,5,"06/03/2023, 12:00",Pool G,Final
pool,Pool H
U24 Mixed Team Canada,Spawn 2023,13,6,"06/03/2023, 09:00",Pool H,Final
Darkwing,Obscure,10,8,"06/03/2023, 09:00",Pool H,Final
U24 Mixed Team Canada,Obscure,11,7,"06/03/2023, 10:30",Pool H,Final
Darkwing,Spawn 2023,6,11,"06/03/2023, 10:30",Pool H,Final
U24 Mixed Team Canada,Darkwing,11,3,"06/03/2023, 12:00",Pool H,Final
Spawn 2023,Obscure,9,10,"06/03/2023, 12:00",Pool H,Final
b,r,e,a,k
clusters,Elite Crossover
cluster,Elite Crossover Play
Slow,Heat Wave,13,4,"06/03/2023, 13:30",,Final
Sprocket,U24 Mixed Team Canada,11,10,"06/03/2023, 13:30",,Final
Spawn 2023,Garbage Plates,7,12,"06/03/2023, 13:30",,Final
Wild Card,Obscure,8,7,"06/03/2023, 13:30",,Final
League of Shadows,Red Fox Ultimate,6,9,"06/03/2023, 13:30",,Final
Grand Army,Deadweight,8,5,"06/03/2023, 13:30",,Final
b,r,e,a,k
brackets,Elite 1st place bracket
bracket,Elite 1st
Slow,U24 Mixed Team Canada,10,11,"06/04/2023, 10:45",Semis,Final
Sprocket,Wild Card,11,8,"06/04/2023, 10:45",Semis,In Progress
Slow,Garbage Plates,15,4,"06/04/2023, 09:00",Quarters,Final
U24 Mixed Team Canada,Red Fox Ultimate,14,5,"06/04/2023, 09:00",Quarters,Final
Sprocket,Grand Army,15,6,"06/04/2023, 09:00",Quarters,Final
Heat Wave,Wild Card,8,13,"06/04/2023, 09:00",Quarters,Final
bracket,3rd place
bracket,5th place
Garbage Plates,Grand Army,0,0,"06/04/2023, 12:30",5th place,Scheduled
Garbage Plates,Heat Wave,9,8,"06/04/2023, 10:45",Round Name,Final
Grand Army,Red Fox Ultimate,15,6,"06/04/2023, 10:45",Round Name,Final
bracket,7th place
Red Fox Ultimate,Heat Wave,0,0,"06/04/2023, 12:30",7th place,Scheduled
b,r,e,a,k
brackets,Elite 9th place Bracket
bracket,9th Place
Deadweight,League of Shadows,0,0,"06/04/2023, 12:30",9th Place,Scheduled
Deadweight,Obscure,13,0,"06/04/2023, 10:45",Round Name,Final
Spawn 2023,League of Shadows,11,13,"06/04/2023, 10:45",Round Name,Final
Obscure,Lampshade,1,0,"06/04/2023, 09:00",Round Name,Final
Spawn 2023,Crash,15,11,"06/04/2023, 09:00",Round Name,Final
League of Shadows,Darkwing,11,10,"06/04/2023, 09:00",Round Name,Final
bracket,11th Place
b,r,e,a,k
brackets,Classic 1st Place
bracket,Classic 1st Place
Flammes en rose,NY Swipes,10,12,"06/04/2023, 10:45",semis,Final
Lobrid,Scarecrow,0,0,"06/04/2023, 10:45",semis,In Progress
Flammes en rose,Quahogs,1,0,"06/04/2023, 09:00",quarters,Final
NY Swipes,Rainbow,15,5,"06/04/2023, 09:00",quarters,Final
Beached Whales,Lobrid,7,11,"06/04/2023, 09:00",quarters,Final
Sunken Circus,Scarecrow,9,13,"06/04/2023, 09:00",quarters,Final
bracket,5th place
Quahogs,Sunken Circus,0,9,"06/04/2023, 10:45",Round Name,Final
Rainbow,Beached Whales,0,0,"06/04/2023, 10:45",Round Name,In Progress
bracket,7th place
bracket,3rd place
b,r,e,a,k
pools,Elite Consolation
pool,Pool I
Darkwing,Crash,0,0,"06/04/2023, 10:45",Pool I,Scheduled
Lampshade,Crash,0,0,"06/04/2023, 12:15",Pool I,Scheduled
Lampshade,Darkwing,0,0,"06/04/2023, 13:45",Pool I,Scheduled
b,r,e,a,k
pools,Classic Consolation Play
pool,Pool J
Eat Lightning,Replay,9,8,"06/04/2023, 09:00",Pool J,Final
Starfire,Replay,0,0,"06/04/2023, 10:45",Pool J,Scheduled
Starfire,Eat Lightning,0,0,"06/04/2023, 12:30",Pool J,Scheduled
pool,Pool K
Molasses Disaster,Compost Plates,0,0,"06/04/2023, 09:00",Pool K,Scheduled
Brooklyn Hive,Compost Plates,0,0,"06/04/2023, 10:45",Pool K,Scheduled
Brooklyn Hive,Molasses Disaster,0,0,"06/04/2023, 12:30",Pool K,Scheduled
b,r,e,a,k
clusters,Classic Consolation Play
b,r,e,a,k
