Philly Invite 2023,Club - Mixed ,19,8,2023
Philadelphia,PA,2023-08-19,2023-08-20
https://play.usaultimate.org/events/Philly-Invite-2023/schedule/Mixed/Club-Mixed
Pittsburgh Port Authority,1
teamInfo,,"Pittsburgh, Pennsylvania",https://tinyurl.com/xteamvalues,,https://twitter.com/portauth0rity
0,Ben Banyas
0,CAROLINE NOFZINGER
0,Dylan Best
0,Henry Zou
0,Jacob Christian
0,Jenna Nold
0,Katy Holt
0,Lauren McFaden
0,Michaela Cushing-Daniels
0,Patrick McMullen
0,Taylor Conroy
2,Jessie Sun
7,Katie Schreiber
11,Harry Park
11,Owen Watt
12,Nicole Fiorentino
17,Kimaya Hayes
18,Jed Farber
24,Alexander Thomas
52,Ellis Baehr
95,Siddharth Yende
b,r,e,a,k
Heat Wave,9
teamInfo,,"Brooklyn, New York",,,
0,Alex Becker
0,Anna Lieberman
0,Becky Chen
0,Caitlin Toner
0,Christina Secor
0,Christopher Dunn
0,Elissa Picozzi
0,Kyle Chylinski
0,Kylie Sterling
0,Renee Heller
0,Samuel Feder
0,Tia Esposito
0,Zoe Zhu
1,Bernard Wang
4,Ethan Lieman
7,Cullen MacDowell
16,Robert Hsu
18,Emily Verticchio
20,Cameron Barth
21,Brendan Chin
21,Jonathan Chylinski
40,Justin Thomas
48,Ian Foley
b,r,e,a,k
Legion,8
teamInfo,,"Lynchburg, Virginia",,https://www.facebook.com/VALegionUltimate/,
0,Asha Gillette
0,Caleb Weldy
0,Katherine Clark
0,Krista Habermas
0,Matthew Glasgow
0,McKenzie Ross
0,Walter Lewis
1,Rupert Armentrout
2,Kevin Habermas
3,Ashley Mast
8,Shawn Messick
12,Jonathan Mast
14,Andrew Lewis
24,Victoria Dissmore
25,Elizabeth Ware
32,Jenna Bibby
37,Brandon Lison
77,Matthew Sutherland
82,Hannah VerasAlba
87,Austin Heston
b,r,e,a,k
Milk,16
teamInfo,,"Wilmington, Delaware",,,
0,Dom Gallo
0,Elise Colomb
0,Garrett Hall
0,James Roop
0,Jason Saienga
0,Jillian Cohen
0,John Gardner
0,JOSEPH GOODELL
0,Julia Frank
0,Kaitlin Phillips
0,Liz Gardner
0,Alex Galarza
0,Caitlin Gleason
0,Nick Satinover
0,Rachel Owrutsky
0,Tabitha Earls
1,Robyn O'Halloran
8,Andrew Wisor
13,Stephen Garrett
19,Cortize Hicks
21,Carissa Kiessling
26,Suzanne Sirianni
44,Nicholas Moon
b,r,e,a,k
Deadweight,2
teamInfo,,"Hartford, Connecticut",,,
00,Colin Dunn
02,Nadya Ponthempilly
03,Barb Banz
04,Celina Daigle
05,Alex Grande
06,Christopher Cox
07,Ricky Lewandowski
09,Ellie Jose
11,Kayla Olson
12,Kenny Harvey
13,Ben Chaimberg
15,Katherine Overstrum
16,Savannah Kandigian
17,Ellie Mamantov
21,Caroline Eldridge
25,John Clyde
32,Zach Grappone
34,Abigail Baer
41,Bobby Elston
42,Alouette Batteau
45,Aidan Wolff-King
52,Ryan Strobel
81,Joseph Kane
b,r,e,a,k
HVAC,10
teamInfo,,"Washington DC, District of Columbia",,https://www.facebook.com/hvacultimate,https://twitter.com/hvacultimate
coaches,Corrie Willson
0,Carolyn Ng
0,Clara Honigberg
0,Emily Askew
0,Grace Laudeman
0,Harrison Wolfson
0,Jeremy Neff
0,Josh Levin
0,Corrie Willson
0,Karen Shim
0,Kyle Williamson
0,Olivia Arellano
0,Patrick Kenney
0,Shannon Sullivan
0,Travis Lynch
5,Cody Smith
8,Nathan Wong
10,Lydia Schaar
13,Austin Pelli
17,Landrum Beard 
17,Stephen Ng
27,Tyler Coleman
33,Julianna Gohman
34,Austin Alvarado
57,Eleanor  Heil
81,Ben Frattini
95,Maggie Graves
b,r,e,a,k
Ant Madness,7
teamInfo,,"Arlington, Virginia",,,https://twitter.com/antmadness
5,Mariska  Bogaard 
03,Brian Doherty
04,Nicholas Kwan
07,Vikas Vannappagari
09,Meaghan McSorley
13,William Strang
14,Jordan Tippitt
15,Fia Hargil
17,Donovan Hambley
19,Bridgette Heine
20,Katrien Hinderdael
21,Harper James
22,Sean McCoy
24,Adam Shrager
27,Wallis Grant
35,Oren Lieber-Kotz
41,Sumner Gubisch
42,Madalyn  Sica
44,Samantha Clough
51,Clara-Ann Joyce
53,Jackson Gode
55,Kylie Auble
64,Ian Decker
