AntlerLock,Club - Mixed ,8,7,2023
Essex Junction,VT,2023-07-08,2023-07-09
https://play.usaultimate.org/events/AntlerLock/schedule/Mixed/Club-Mixed
Buffalo Lake Effect,7
Sunken Circus,Bench,7,14,"07/08/2023, 09:30",Champ Quarters,Final
Scarecrow,FLI,12,7,"07/08/2023, 09:30",Champ Quarters,Final
b,r,e,a,k
brackets,Consolation
bracket,3rd Place
Buffalo Lake Effect,Bench,0,0,"07/09/2023, 13:00",3rd Place,Scheduled
bracket,5th Place
The Buoy Association,Sunken Circus,0,0,"07/09/2023, 13:00",5th Place,Final
The Buoy Association,Zero Strategy,15,0,"07/09/2023, 11:15",5th Place Semis,Final
Sunken Circus,FLI,10,8,"07/09/2023, 11:15",5th Place Semis,Final
bracket,7th Place
bracket,9th Place
Default,Quahogs,0,0,"07/09/2023, 11:15",9th Place Semis,Final
Equinox,WHUF,0,0,"07/09/2023, 11:15",9th Place Semis,Final
Default,Sugar Shack,14,11,"07/09/2023, 09:30",9th Place Quarters,Final
Rainbow,Quahogs,6,12,"07/09/2023, 09:30",9th Place Quarters,Final
Equinox,Vintage Ultimate Club,15,6,"07/09/2023, 09:30",9th Place Quarters,Final
WHUF,Buffalo Brain Freeze,14,7,"07/09/2023, 09:30",9th Place Quarters,Final
bracket,11th Place
bracket,13th Place
Sugar Shack,Rainbow,0,0,"07/09/2023, 11:15",13th Place Semis,Final
Vintage Ultimate Club,Buffalo Brain Freeze,0,0,"07/09/2023, 11:15",13th Place Semis,Final
bracket,15th Place
b,r,e,a,k
pools,Saturday Pools
pool,Pool A
The Buoy Association,Default,15,4,"07/08/2023, 10:30",Pool A,Final
FLI,Buffalo Brain Freeze,12,6,"07/08/2023, 10:30",Pool A,Final
The Buoy Association,Buffalo Brain Freeze,14,8,"07/08/2023, 12:15",Pool A,Final
FLI,Default,11,8,"07/08/2023, 12:15",Pool A,Final
The Buoy Association,FLI,10,4,"07/08/2023, 14:00",Pool A,Final
Default,Buffalo Brain Freeze,12,9,"07/08/2023, 14:00",Pool A,Final
pool,Pool B
Scarecrow,WHUF,13,8,"07/08/2023, 10:30",Pool B,Final
Buffalo Lake Effect,Sugar Shack,15,6,"07/08/2023, 10:30",Pool B,Final
Scarecrow,Sugar Shack,15,3,"07/08/2023, 14:00",Pool B,Final
Buffalo Lake Effect,WHUF,10,11,"07/08/2023, 14:00",Pool B,Final
Scarecrow,Buffalo Lake Effect,9,10,"07/08/2023, 15:45",Pool B,Final
WHUF,Sugar Shack,13,3,"07/08/2023, 15:45",Pool B,Final
pool,Pool C
Lampshade,Quahogs,12,7,"07/08/2023, 10:30",Pool C,Final
Sunken Circus,Equinox,15,5,"07/08/2023, 10:30",Pool C,Final
Lampshade,Equinox,15,6,"07/08/2023, 12:15",Pool C,Final
Sunken Circus,Quahogs,14,7,"07/08/2023, 12:15",Pool C,Final
Lampshade,Sunken Circus,9,14,"07/08/2023, 15:45",Pool C,Final
Quahogs,Equinox,8,9,"07/08/2023, 15:45",Pool C,Final
pool,Pool D
Bench,Rainbow,14,8,"07/08/2023, 12:15",Pool D,Final
Zero Strategy,Vintage Ultimate Club,14,8,"07/08/2023, 12:15",Pool D,Final
Bench,Vintage Ultimate Club,15,3,"07/08/2023, 14:00",Pool D,Final
Zero Strategy,Rainbow,15,8,"07/08/2023, 14:00",Pool D,Final
Bench,Zero Strategy,8,12,"07/08/2023, 15:45",Pool D,Final
Rainbow,Vintage Ultimate Club,14,7,"07/08/2023, 15:45",Pool D,Final
b,r,e,a,k
