New England D-I College Men's Regionals,College - Men ,6,5,2023
S Portland,ME,2023-05-06,2023-05-07
https://play.usaultimate.org/events/New-England-D-I-College-Mens-Regionals-2023/schedule/Men/CollegeMen/
Massachusetts,1
teamInfo,Zoodisc,"Amherst, Massachusetts",,https://www.facebook.com/UMassUltimate/,https://twitter.com/UMassUltimateM
0,Isaac Kaplan
1,Andrew Zhu
3,Bryan Dole
4,Griffin Yas
4,Leo Narbonne
5,Daniel Kang
6,Asa Thomson
8,Jaden Busch
9,Jae Lee
10,Wyatt Kellman
15,Jonah Stang-Osborne
18,Sam Green
19,Griffin Gee
19,Charlie Leightheiser
22,Arthur Aucoin
24,Lyle Berkley
35,Nima Lhamo
35,Christopher Streilein
39,Carter Hawkins
41,Noel Sierra
42,Aidan O'Neill
87,Alberto Morales-Fernandez
88,Caelan McSweeney
93,Will Christian
94,Gavin Abrahamsson
95,Luca  Harwood
99,Tobias Paperno
b,r,e,a,k
Maine,8
teamInfo,Snositi,"Orono, Maine",,,
0,Brendan Stone
0,Garrett Dickinson
0,Jack Hogan
0,Justin Strout
0,Tommy Young
0,Tyler Adams
6,Cole Moore
6,Ryan O'Sullivan
13,Ryan Thompson
16,Cullen Stevens
17,Dylan Ralph
18,Jack  Cecelya
18,Aidan Gorneau
44,Aidan Hayes
44,Joe Jacobson
64,Matisse Moser
88,Andrew Riley
99,Clayton Coffman
b,r,e,a,k
Dartmouth,9
teamInfo,Pain Train,"Hanover, New Hampshire",https://sites.dartmouth.edu/ultimatefrisbee/paintrain/,,https://twitter.com/DMouthPainTrain
coaches,Colby Clarkson
0,Aaron Rosenthal
0,Andres Ibarra
0,Colin Kowalski
0,Daniel Chen
0,Daniel Shen
0,Erich Woo
0,Henry Moore
0,Ian Gill
0,Jake Olson
0,Josiah Angehr
0,Justin Santana
0,Maxim Freedland
0,Oliver Kirsch
0,Omar Sharief
0,Evan Phillips
0,Henry Mans
0,Timothy McGrath
0,Walker Ball
8,Connor Coale
11,Alexander Fick
19,Jackson Elder
22,Evan Jaffe
23,Henry Wildermuth
24,Jackson Scarbrough
33,Drew Loughnane
44,Theodore Trefonides
b,r,e,a,k
Tufts (C),16
teamInfo,Tufts C,"Medford, Massachusetts",www.tuftsmensultimate.org,,
0,Dyan Peifer 
0,Henry Sorpol
0,Isaac Leib
0,Joseph Rosen
0,Joshua Fleegler
0,Joshua Blum
0,Mark Martirosian
0,owen pallatroni
0,Prithvi Shahani
68,Maddox Weisz
b,r,e,a,k
Vermont,2
teamInfo,Chill,"Burlington, Vermont",,https://www.facebook.com/Team.Chill.33/,https://twitter.com/team_chill
0,Chase Drinkwater
2,Kuochuan Ponzio
4,Benjamin Payson
6,Gabriele Kautz
7,Turner Allen
8,Eli Standard
9,True Hanson
11,Gabriel Smestad
15,James Cairn
16,Grant Goodale
17,Moses Delane
18,Casey Thornton
19,Christopher Kiepert
21,Luca Stuccio
22,Zachary Watson-Stevens
23,Kristof Rohaly-Medved
24,Nico Christakos
28,Leo Sarandos
33,John Sickles
36,Carl Crawford
37,Parker Lin-Butler
42,Ryan Bliss
44,Carter Lawless
72,Jack Rice
82,Declan Kervick
b,r,e,a,k
Harvard,7
teamInfo,Red Line,"Cambridge, Massachusetts",http://www.instagram.com/harvardredline,https://www.facebook.com/HarvardUltimate,https://twitter.com/HarvardRedLine
coaches,Matthew Heath,Pablo Reimers
0,Aaron Berger
0,Adam Park
0,Aidan Zhou
0,Christopher Ma
0,Christopher Ruaño
0,Coby Sheehan
0,Cole Salvador
0,Collin Lief
0,Daniel Koenig
0,David Seo
0,Jonah Abrams
0,Julian Li
0,Luke Lawson
0,Marc Courtemanche
0,Matt Pauly
0,Max Surprenant
0,Michael Chen
0,Mikel  Davies
0,Owen Bernstein
0,Paz Meyers
0,Felix Perez Diener
0,William Anderson
0,Wonuola Obasa
5,Zadoc Gee
8,Thomas Gustafson
18,Isaac Newman
22,Elijah Shell
41,Hayden  Teeter
42,Francisco Fernandez
b,r,e,a,k
Massachusetts (B),10
teamInfo,Umass Amherst Developmental,"Amherst, Massachusetts",,,https://twitter.com/ZoodiscD
02,Nathan Shenoy
04,William  Ullmann
06,Benjamin Weber
07,Ian McKenna
11,Cameron Salvatore
13,Aaron Fandel
14,Jackson Lieb
16,Tomo Liou
19,Ryan Lynch
21,Maxwell Schneider
23,Samuel Losen
25,Matthew Ayers
26,Patrick Como
28,Trevor Spadafora
33,Jayden Amirault
43,Henri Schuette
44,Hayden Bouley
47,Michael Forozis
50,Timothy Corkery
52,Nadav Berkman
56,Chris Coughlin
63,Jonathan Coombs
64,Matthew Crowe
71,Daniil Koval
73,Jack Werst
74,Cedar Noonan
80,John Riley
87,Sam Levitt
89,Nathan LaPointe
96,Xiao Yang
97,Jacob LaRue
b,r,e,a,k
Tufts (B),15
teamInfo,Tufts B,"Medford, Massachusetts",www.tuftsmensultimate.org,,
0,Evan Hu
2,Lewis Busch-Vogel
3,Edmund Burr
4,Max Regardie
8,Theodore Prince
9,Sammy Muench
11,James Boots-Ebenfield
12,Sam Markowitz
13,Shai  Lofdahl Fruchter 
15,Ray Feinleib
16,Ryo Shimada
17,Benjamin Rowland
18,Ryan Rockett
19,Evan Goler
26,Christopher Holden
27,Matthew Werenski
30,John Aslanian
36,Henry Kates
38,Pierce Clark
42,Daniel Plotkin
47,Suyogya Acharya
54,Liam Reardon
88,Josiah Martin
99,Christopher  Garcia
b,r,e,a,k
Brown,3
teamInfo,Brownian Motion,"Providence, Rhode Island",http://www.brown.edu/Athletics/Mens_Ultimate/,https://www.facebook.com/brownultimatefrisbee,https://twitter.com/BMoUltimate
b,r,e,a,k
McGill,6
teamInfo,MUT,"Montreal, Quebec CA",https://mcgillultimate.com/,https://www.facebook.com/mcgillultimateteam/,https://twitter.com/mcgillultimate?lang=en
0,Clayton Jeffrey
0,Hugh Kelly
0,Jaden Verlaan
0,James Newman
0,Joy Zhou
0,Nathan Wu
0,Owen Kolinski
0,Rafael Imbert Rivas
0,Aidan Mckibben
0,Ruben Hari
0,Solomon Podorovsky
0,Stephen Chang
0,Tristan Leclair-Vani
2,Daniel Tu
13,Dylan Wu
31,Sam Dummer
37,Calvin Coulbury
42,Tynan Peterson
69,Ruari McEwan
98,Makalu Green
99,Fritz Rehmus
b,r,e,a,k
MIT,11
